onset	duration	sample	trial_type	stim_file	value	event_type
34.5596	0.0	35390	response	n/a	202	incorrect_response
38.0801	0.0	38995	response	n/a	202	incorrect_response
42.3477	0.3	43365	stimulus	n/a	25	face
42.7354	0.0	43762	response	n/a	201	correct_response
43.9307	0.3	44986	stimulus	n/a	141	scrambled_car
44.2793	0.0	45343	response	n/a	201	correct_response
45.4805	0.3	46573	stimulus	n/a	48	car
45.9033	0.0	47006	response	n/a	201	correct_response
47.0293	0.3	48159	stimulus	n/a	144	scrambled_car
47.5596	0.0	48702	response	n/a	201	correct_response
48.5459	0.3	49712	stimulus	n/a	58	car
48.9033	0.0	50078	response	n/a	201	correct_response
50.0283	0.3	51230	stimulus	n/a	164	scrambled_car
50.4316	0.0	51643	response	n/a	201	correct_response
51.4941	0.3	52731	stimulus	n/a	157	scrambled_car
51.9512	0.0	53199	response	n/a	201	correct_response
52.9277	0.3	54199	stimulus	n/a	121	scrambled_face
53.3115	0.0	54592	response	n/a	201	correct_response
54.5273	0.3	55837	stimulus	n/a	26	face
54.8711	0.0	56189	response	n/a	201	correct_response
55.9766	0.3	57321	stimulus	n/a	115	scrambled_face
56.3994	0.0	57754	response	n/a	201	correct_response
57.3926	0.3	58771	stimulus	n/a	79	car
57.7998	0.0	59188	response	n/a	201	correct_response
58.8584	0.3	60272	stimulus	n/a	147	scrambled_car
59.1357	0.0	60556	response	n/a	201	correct_response
60.2744	0.3	61722	stimulus	n/a	15	face
60.6631	0.0	62120	response	n/a	201	correct_response
61.708	0.3	63190	stimulus	n/a	143	scrambled_car
62.0234	0.0	63513	response	n/a	201	correct_response
63.3066	0.3	64827	stimulus	n/a	126	scrambled_face
63.7188	0.0	65249	response	n/a	202	incorrect_response
64.8066	0.3	66363	stimulus	n/a	114	scrambled_face
65.1914	0.0	66757	response	n/a	201	correct_response
66.3223	0.3	67915	stimulus	n/a	8	face
66.7109	0.0	68313	response	n/a	201	correct_response
67.7891	0.3	69417	stimulus	n/a	171	scrambled_car
68.1592	0.0	69796	response	n/a	201	correct_response
69.2881	0.3	70952	stimulus	n/a	18	face
69.7031	0.0	71377	response	n/a	201	correct_response
70.8213	0.3	72522	stimulus	n/a	165	scrambled_car
71.2627	0.0	72974	response	n/a	201	correct_response
72.2373	0.3	73972	stimulus	n/a	166	scrambled_car
72.5908	0.0	74334	response	n/a	201	correct_response
73.8037	0.3	75576	stimulus	n/a	133	scrambled_face
74.167	0.0	75948	response	n/a	201	correct_response
