onset	duration	sample	trial_type	stim_file	value	event_type
2.9512	0.0	3023	response	n/a	202	incorrect_response
7.0977	0.3	7269	stimulus	n/a	66	car
7.4385	0.0	7618	response	n/a	201	correct_response
8.6133	0.3	8821	stimulus	n/a	170	scrambled_car
8.959	0.0	9175	response	n/a	201	correct_response
10.0625	0.3	10305	stimulus	n/a	164	scrambled_car
10.415	0.0	10666	response	n/a	201	correct_response
11.4629	0.3	11739	stimulus	n/a	8	face
11.8311	0.0	12116	response	n/a	201	correct_response
12.9453	0.3	13257	stimulus	n/a	123	scrambled_face
13.3271	0.0	13648	response	n/a	201	correct_response
14.4609	0.3	14809	stimulus	n/a	39	face
14.7832	0.0	15139	response	n/a	202	incorrect_response
15.9277	0.3	16311	stimulus	n/a	68	car
16.3271	0.0	16720	response	n/a	201	correct_response
17.5273	0.3	17949	stimulus	n/a	151	scrambled_car
17.9346	0.0	18366	response	n/a	201	correct_response
19.126	0.3	19586	stimulus	n/a	148	scrambled_car
19.4307	0.0	19898	response	n/a	201	correct_response
20.6426	0.3	21139	stimulus	n/a	80	car
20.9746	0.0	21479	response	n/a	201	correct_response
22.125	0.3	22657	stimulus	n/a	62	car
22.4551	0.0	22995	response	n/a	201	correct_response
23.708	0.3	24278	stimulus	n/a	178	scrambled_car
24.0547	0.0	24633	response	n/a	201	correct_response
25.124	0.3	25728	stimulus	n/a	111	scrambled_face
25.4785	0.0	26091	response	n/a	201	correct_response
26.5732	0.3	27212	stimulus	n/a	169	scrambled_car
26.9502	0.0	27598	response	n/a	201	correct_response
28.04	0.3	28714	stimulus	n/a	128	scrambled_face
28.3506	0.0	29032	response	n/a	201	correct_response
29.5723	0.3	30283	stimulus	n/a	176	scrambled_car
29.8545	0.0	30572	response	n/a	201	correct_response
31.0391	0.3	31785	stimulus	n/a	163	scrambled_car
31.4229	0.0	32178	response	n/a	201	correct_response
32.4883	0.3	33269	stimulus	n/a	112	scrambled_face
32.8623	0.0	33652	response	n/a	201	correct_response
33.9375	0.3	34753	stimulus	n/a	12	face
34.2939	0.0	35118	response	n/a	201	correct_response
35.5205	0.3	36374	stimulus	n/a	76	car
35.8145	0.0	36675	response	n/a	201	correct_response
37.0361	0.3	37926	stimulus	n/a	2	face
37.2783	0.0	38174	response	n/a	201	correct_response
38.4697	0.3	39394	stimulus	n/a	110	scrambled_face
38.7744	0.0	39706	response	n/a	201	correct_response
40.0352	0.3	40997	stimulus	n/a	14	face
40.3506	0.0	41320	response	n/a	201	correct_response
41.6348	0.3	42635	stimulus	n/a	105	scrambled_face
41.9658	0.0	42974	response	n/a	201	correct_response
43.2344	0.3	44273	stimulus	n/a	162	scrambled_car
43.5498	0.0	44596	response	n/a	201	correct_response
44.667	0.3	45740	stimulus	n/a	30	face
45.0137	0.0	46095	response	n/a	201	correct_response
46.2334	0.3	47344	stimulus	n/a	179	scrambled_car
46.5342	0.0	47652	response	n/a	202	incorrect_response
47.7832	0.3	48931	stimulus	n/a	171	scrambled_car
48.0459	0.0	49200	response	n/a	201	correct_response
49.3486	0.3	50534	stimulus	n/a	38	face
49.7344	0.0	50929	response	n/a	201	correct_response
50.7646	0.3	51984	stimulus	n/a	4	face
51.0537	0.0	52280	response	n/a	201	correct_response
52.2979	0.3	53554	stimulus	n/a	20	face
52.5576	0.0	53820	response	n/a	201	correct_response
53.8975	0.3	55192	stimulus	n/a	150	scrambled_car
54.2139	0.0	55516	response	n/a	201	correct_response
55.3799	0.3	56710	stimulus	n/a	117	scrambled_face
55.6543	0.0	56991	response	n/a	202	incorrect_response
56.8799	0.3	58246	stimulus	n/a	13	face
57.2939	0.0	58670	response	n/a	201	correct_response
58.3291	0.3	59730	stimulus	n/a	143	scrambled_car
58.7021	0.0	60112	response	n/a	201	correct_response
59.7783	0.3	61214	stimulus	n/a	43	car
60.0615	0.0	61504	response	n/a	202	incorrect_response
61.2275	0.3	62698	stimulus	n/a	34	face
61.5742	0.0	63053	response	n/a	201	correct_response
62.7441	0.3	64251	stimulus	n/a	16	face
63.0293	0.0	64543	response	n/a	201	correct_response
64.1768	0.3	65718	stimulus	n/a	25	face
64.4854	0.0	66034	response	n/a	201	correct_response
65.7266	0.3	67305	stimulus	n/a	113	scrambled_face
65.9258	0.0	67509	response	n/a	201	correct_response
71.4912	0.3	73208	stimulus	n/a	41	car
71.9492	0.0	73677	response	n/a	201	correct_response
73.0234	0.3	74777	stimulus	n/a	129	scrambled_face
73.3174	0.0	75078	response	n/a	202	incorrect_response
74.623	0.3	76415	stimulus	n/a	59	car
74.9658	0.0	76766	response	n/a	201	correct_response
76.0889	0.3	77916	stimulus	n/a	54	car
76.3018	0.0	78134	response	n/a	202	incorrect_response
77.6221	0.3	79486	stimulus	n/a	135	scrambled_face
77.9492	0.0	79821	response	n/a	201	correct_response
79.0215	0.3	80919	stimulus	n/a	33	face
79.4053	0.0	81312	response	n/a	201	correct_response
80.4541	0.3	82386	stimulus	n/a	157	scrambled_car
80.8457	0.0	82787	response	n/a	201	correct_response
82.0371	0.3	84007	stimulus	n/a	21	face
82.373	0.0	84351	response	n/a	201	correct_response
83.5371	0.3	85543	stimulus	n/a	18	face
83.8857	0.0	85900	response	n/a	201	correct_response
85.1025	0.3	87146	stimulus	n/a	107	scrambled_face
85.373	0.0	87423	response	n/a	201	correct_response
86.6357	0.3	88716	stimulus	n/a	52	car
87.0137	0.0	89103	response	n/a	201	correct_response
88.1016	0.3	90217	stimulus	n/a	125	scrambled_face
88.3496	0.0	90471	response	n/a	201	correct_response
89.7012	0.3	91855	stimulus	n/a	1	face
89.9092	0.0	92068	response	n/a	202	incorrect_response
91.1504	0.3	93339	stimulus	n/a	26	face
91.4453	0.0	93641	response	n/a	202	incorrect_response
92.6504	0.3	94875	stimulus	n/a	166	scrambled_car
92.9727	0.0	95205	response	n/a	202	incorrect_response
94.0664	0.3	96325	stimulus	n/a	172	scrambled_car
94.4053	0.0	96672	response	n/a	201	correct_response
95.6494	0.3	97946	stimulus	n/a	67	car
96.1094	0.0	98417	response	n/a	201	correct_response
97.0654	0.3	99396	stimulus	n/a	71	car
97.3408	0.0	99678	response	n/a	201	correct_response
98.498	0.3	100863	stimulus	n/a	57	car
98.7568	0.0	101128	response	n/a	201	correct_response
99.9307	0.3	102330	stimulus	n/a	115	scrambled_face
100.3086	0.0	102717	response	n/a	201	correct_response
101.3799	0.3	103814	stimulus	n/a	142	scrambled_car
101.6768	0.0	104118	response	n/a	201	correct_response
102.8301	0.3	105299	stimulus	n/a	49	car
103.1172	0.0	105593	response	n/a	201	correct_response
104.3789	0.3	106885	stimulus	n/a	40	face
104.6289	0.0	107141	response	n/a	201	correct_response
105.8457	0.3	108387	stimulus	n/a	60	car
106.1172	0.0	108665	response	n/a	201	correct_response
107.2949	0.3	109871	stimulus	n/a	63	car
107.5967	0.0	110180	response	n/a	201	correct_response
108.7109	0.3	111321	stimulus	n/a	160	scrambled_car
109.0205	0.0	111638	response	n/a	202	incorrect_response
110.1768	0.3	112822	stimulus	n/a	24	face
110.5811	0.0	113236	response	n/a	201	correct_response
111.6602	0.3	114341	stimulus	n/a	103	scrambled_face
112.0449	0.0	114735	response	n/a	201	correct_response
113.1758	0.3	115893	stimulus	n/a	149	scrambled_car
113.4922	0.0	116217	response	n/a	201	correct_response
114.5918	0.3	117343	stimulus	n/a	75	car
114.8848	0.0	117643	response	n/a	201	correct_response
116.125	0.3	118913	stimulus	n/a	22	face
116.4287	0.0	119224	response	n/a	201	correct_response
117.6416	0.3	120466	stimulus	n/a	118	scrambled_face
117.9727	0.0	120805	response	n/a	202	incorrect_response
