onset	duration	sample	trial_type	stim_file	value
4.4346	0.0	4542	response	n/a	202
5.9150	0.0	6058	response	n/a	202
10.1914	0.2	10437	stimulus	n/a	54
10.5547	0.0	10809	response	n/a	201
11.7402	0.2	12023	stimulus	n/a	53
12.0664	0.0	12357	response	n/a	201
13.3066	0.2	13627	stimulus	n/a	52
13.6670	0.0	13996	response	n/a	201
14.8057	0.2	15162	stimulus	n/a	54
15.1387	0.0	15503	response	n/a	201
16.3887	0.2	16783	stimulus	n/a	54
16.7227	0.0	17125	response	n/a	201
17.9883	0.2	18421	stimulus	n/a	55
18.3145	0.0	18755	response	n/a	201
19.4209	0.2	19888	stimulus	n/a	55
19.7939	0.0	20270	response	n/a	201
21.0039	0.2	21509	stimulus	n/a	53
21.3301	0.0	21843	response	n/a	201
22.6035	0.2	23147	stimulus	n/a	52
22.9062	0.0	23457	response	n/a	201
24.0195	0.2	24597	stimulus	n/a	52
24.3301	0.0	24915	response	n/a	201
25.5020	0.2	26115	stimulus	n/a	54
25.9619	0.0	26586	response	n/a	201
27.0352	0.2	27685	stimulus	n/a	55
27.4658	0.0	28126	response	n/a	201
28.4678	0.2	29152	stimulus	n/a	54
28.8018	0.0	29494	response	n/a	201
30.0010	0.2	30722	stimulus	n/a	54
30.2744	0.0	31002	response	n/a	201
31.4502	0.2	32206	stimulus	n/a	55
31.8105	0.0	32575	response	n/a	201
32.8828	0.2	33673	stimulus	n/a	54
33.2744	0.0	34074	response	n/a	201
34.3154	0.2	35140	stimulus	n/a	53
34.6816	0.0	35515	response	n/a	201
35.7988	0.2	36659	stimulus	n/a	54
36.0820	0.0	36949	response	n/a	201
37.2480	0.2	38143	stimulus	n/a	52
37.6338	0.0	38538	response	n/a	201
38.8145	0.2	39747	stimulus	n/a	51
39.1299	0.0	40070	response	n/a	201
40.2305	0.2	41197	stimulus	n/a	52
40.5459	0.0	41520	response	n/a	201
41.6797	0.2	42681	stimulus	n/a	54
41.9541	0.0	42962	response	n/a	201
43.2295	0.2	44268	stimulus	n/a	55
43.5859	0.0	44633	response	n/a	201
44.6455	0.2	45718	stimulus	n/a	51
45.0977	0.0	46181	response	n/a	201
46.1943	0.2	47304	stimulus	n/a	51
46.5703	0.0	47689	response	n/a	201
47.7773	0.2	48925	stimulus	n/a	55
48.1934	0.0	49351	response	n/a	201
49.3438	0.2	50529	stimulus	n/a	51
49.8740	0.0	51072	response	n/a	201
50.8428	0.2	52064	stimulus	n/a	53
51.2256	0.0	52456	response	n/a	201
52.4258	0.2	53685	stimulus	n/a	55
52.8496	0.0	54119	response	n/a	201
53.8916	0.2	55186	stimulus	n/a	54
54.2812	0.0	55585	response	n/a	201
55.4248	0.2	56756	stimulus	n/a	52
55.7773	0.0	57117	response	n/a	201
56.8906	0.2	58257	stimulus	n/a	55
57.2900	0.0	58666	response	n/a	201
58.4570	0.2	59861	stimulus	n/a	52
58.8418	0.0	60255	response	n/a	201
60.0068	0.2	61448	stimulus	n/a	53
60.3779	0.0	61828	response	n/a	201
61.4727	0.2	62949	stimulus	n/a	52
61.8496	0.0	63335	response	n/a	201
62.9717	0.2	64484	stimulus	n/a	51
63.3857	0.0	64908	response	n/a	201
64.3721	0.2	65918	stimulus	n/a	52
64.7217	0.0	66276	response	n/a	201
65.9707	0.2	67555	stimulus	n/a	53
66.2979	0.0	67890	response	n/a	201
67.5205	0.2	69142	stimulus	n/a	51
67.9932	0.0	69626	response	n/a	201
69.0703	0.2	70729	stimulus	n/a	51
69.4092	0.0	71076	response	n/a	201
78.0996	0.2	79975	stimulus	n/a	43
78.4092	0.0	80292	response	n/a	201
79.6660	0.2	81579	stimulus	n/a	44
80.0732	0.0	81996	response	n/a	201
81.1992	0.2	83149	stimulus	n/a	45
81.7852	0.0	83749	response	n/a	201
82.7646	0.2	84752	stimulus	n/a	45
83.1133	0.0	85109	response	n/a	201
84.2148	0.2	86237	stimulus	n/a	41
84.7373	0.0	86772	response	n/a	201
85.7637	0.2	87823	stimulus	n/a	45
86.3135	0.0	88386	response	n/a	201
87.2969	0.2	89393	stimulus	n/a	45
87.6094	0.0	89713	response	n/a	201
