onset	duration	sample	trial_type	stim_file	value
2.2070	0.0	2261	response	n/a	212
6.3350	0.0	6488	response	n/a	212
10.7061	0.2	10964	stimulus	n/a	11
11.0791	0.0	11346	response	n/a	111
12.2051	0.2	12499	stimulus	n/a	21
12.5264	0.0	12828	response	n/a	221
13.7715	0.2	14103	stimulus	n/a	12
14.0625	0.0	14401	response	n/a	212
15.2871	0.2	15655	stimulus	n/a	12
15.6230	0.0	15999	response	n/a	212
16.7031	0.2	17105	stimulus	n/a	11
17.0547	0.0	17465	response	n/a	111
18.1865	0.2	18624	stimulus	n/a	11
18.5430	0.0	18989	response	n/a	111
19.6191	0.2	20091	stimulus	n/a	21
19.9980	0.0	20479	response	n/a	221
21.1689	0.2	21678	stimulus	n/a	22
21.5908	0.0	22110	response	n/a	222
22.7012	0.2	23247	stimulus	n/a	12
23.0225	0.0	23576	response	n/a	212
24.2676	0.2	24851	stimulus	n/a	12
24.5820	0.0	25173	response	n/a	112
25.8672	0.2	26489	stimulus	n/a	11
26.2227	0.0	26853	response	n/a	111
27.2832	0.2	27939	stimulus	n/a	21
27.6465	0.0	28311	response	n/a	221
28.8496	0.2	29543	stimulus	n/a	12
29.1904	0.0	29892	response	n/a	212
30.3320	0.2	31061	stimulus	n/a	22
30.6299	0.0	31366	response	n/a	122
31.8311	0.2	32596	stimulus	n/a	22
32.2305	0.0	33005	response	n/a	222
33.3477	0.2	34149	stimulus	n/a	21
33.7422	0.0	34553	response	n/a	121
34.9141	0.2	35753	stimulus	n/a	12
35.2705	0.0	36118	response	n/a	212
36.4629	0.2	37339	stimulus	n/a	21
36.8623	0.0	37748	response	n/a	121
37.9795	0.2	38892	stimulus	n/a	12
38.2783	0.0	39198	response	n/a	212
39.4453	0.2	40393	stimulus	n/a	11
39.7979	0.0	40754	response	n/a	111
40.8779	0.2	41860	stimulus	n/a	22
41.1260	0.0	42114	response	n/a	222
42.3281	0.2	43345	stimulus	n/a	22
42.6699	0.0	43695	response	n/a	222
43.7441	0.2	44795	stimulus	n/a	21
44.0381	0.0	45096	response	n/a	221
45.3438	0.2	46433	stimulus	n/a	22
45.6699	0.0	46767	response	n/a	122
46.7598	0.2	47883	stimulus	n/a	22
47.1504	0.0	48283	response	n/a	222
48.2588	0.2	49418	stimulus	n/a	22
48.6543	0.0	49823	response	n/a	222
49.7422	0.2	50937	stimulus	n/a	12
50.0059	0.0	51207	response	n/a	212
51.1582	0.2	52387	stimulus	n/a	21
51.4541	0.0	52690	response	n/a	221
52.6406	0.2	53905	stimulus	n/a	11
52.9502	0.0	54222	response	n/a	111
54.1572	0.2	55458	stimulus	n/a	11
54.4141	0.0	55721	response	n/a	211
55.6064	0.2	56942	stimulus	n/a	11
55.9814	0.0	57326	response	n/a	111
57.1895	0.2	58563	stimulus	n/a	22
57.6299	0.0	59014	response	n/a	222
58.6719	0.2	60081	stimulus	n/a	21
59.0381	0.0	60456	response	n/a	121
60.1885	0.2	61634	stimulus	n/a	21
60.6133	0.0	62069	response	n/a	121
61.6045	0.2	63084	stimulus	n/a	21
62.0137	0.0	63503	response	n/a	121
63.1699	0.2	64687	stimulus	n/a	12
63.6055	0.0	65133	response	n/a	212
64.6035	0.2	66155	stimulus	n/a	12
64.9092	0.0	66468	response	n/a	212
66.0361	0.2	67622	stimulus	n/a	11
66.3096	0.0	67902	response	n/a	111
67.5186	0.2	69140	stimulus	n/a	11
67.9658	0.0	69598	response	n/a	111
69.0684	0.2	70727	stimulus	n/a	22
69.3652	0.0	71031	response	n/a	222
86.9287	0.2	89016	stimulus	n/a	12
87.2373	0.0	89332	response	n/a	212
88.4609	0.2	90585	stimulus	n/a	21
88.7490	0.0	90880	response	n/a	221
89.8945	0.2	92053	stimulus	n/a	11
90.2451	0.0	92412	response	n/a	111
91.3936	0.2	93588	stimulus	n/a	22
91.5967	0.0	93796	response	n/a	222
92.8262	0.2	95055	stimulus	n/a	12
93.1094	0.0	95345	response	n/a	212
94.3760	0.2	96642	stimulus	n/a	12
94.6611	0.0	96934	response	n/a	112
95.8252	0.2	98126	stimulus	n/a	21
96.0928	0.0	98400	response	n/a	121
97.4248	0.2	99764	stimulus	n/a	12
97.6611	0.0	100006	response	n/a	212
98.9072	0.2	101282	stimulus	n/a	11
99.2051	0.0	101587	response	n/a	111
100.3574	0.2	102767	stimulus	n/a	22
100.7324	0.0	103151	response	n/a	122
101.9229	0.2	104370	stimulus	n/a	12
102.2051	0.0	104659	response	n/a	212
103.3223	0.2	105803	stimulus	n/a	11
103.6611	0.0	106150	response	n/a	111
104.8389	0.2	107356	stimulus	n/a	11
105.1963	0.0	107722	response	n/a	111
106.2549	0.2	108806	stimulus	n/a	11
106.6045	0.0	109164	response	n/a	111
107.7881	0.2	110376	stimulus	n/a	11
108.1406	0.0	110737	response	n/a	111
109.3535	0.2	111979	stimulus	n/a	12
109.6367	0.0	112269	response	n/a	212
110.8203	0.2	113481	stimulus	n/a	22
111.2051	0.0	113875	response	n/a	222
112.2363	0.2	114931	stimulus	n/a	12
112.5723	0.0	115275	response	n/a	212
113.7188	0.2	116449	stimulus	n/a	22
