onset	duration	sample	trial_type	stim_file	value
3.1104	0.3	3186	stimulus	n/a	129
3.5576	0.0	3644	response	n/a	201
4.6270	0.3	4739	stimulus	n/a	105
4.9580	0.0	5078	response	n/a	201
6.1592	0.3	6308	stimulus	n/a	126
6.5176	0.0	6675	response	n/a	201
7.6758	0.3	7861	stimulus	n/a	69
7.9658	0.0	8158	response	n/a	201
9.1582	0.3	9379	stimulus	n/a	174
9.4619	0.0	9690	response	n/a	201
10.5752	0.3	10830	stimulus	n/a	7
10.8936	0.0	11156	response	n/a	201
12.1572	0.3	12450	stimulus	n/a	158
12.4531	0.0	12753	response	n/a	201
13.7070	0.3	14037	stimulus	n/a	109
14.0771	0.0	14416	response	n/a	201
15.1729	0.3	15538	stimulus	n/a	119
15.4854	0.0	15858	response	n/a	201
16.7393	0.3	17142	stimulus	n/a	40
17.0215	0.0	17431	response	n/a	201
18.1719	0.3	18609	stimulus	n/a	149
18.3809	0.0	18823	response	n/a	201
19.7715	0.3	20247	stimulus	n/a	77
20.0693	0.0	20552	response	n/a	201
21.1875	0.3	21697	stimulus	n/a	152
21.4609	0.0	21977	response	n/a	201
22.7373	0.3	23284	stimulus	n/a	32
22.9248	0.0	23476	response	n/a	201
24.2363	0.3	24819	stimulus	n/a	25
24.4209	0.0	25008	response	n/a	202
25.7197	0.3	26338	stimulus	n/a	134
26.0928	0.0	26720	response	n/a	201
27.1689	0.3	27822	stimulus	n/a	46
27.4688	0.0	28129	response	n/a	201
28.6348	0.3	29323	stimulus	n/a	162
28.8613	0.0	29555	response	n/a	201
30.1016	0.3	30825	stimulus	n/a	44
30.2773	0.0	31005	response	n/a	201
31.6836	0.3	32445	stimulus	n/a	21
33.1670	0.3	33964	stimulus	n/a	35
33.5654	0.0	34372	response	n/a	201
34.6494	0.3	35482	stimulus	n/a	53
34.9326	0.0	35772	response	n/a	202
36.1826	0.3	37052	stimulus	n/a	43
36.6055	0.0	37485	response	n/a	201
37.6152	0.3	38519	stimulus	n/a	132
37.9014	0.0	38812	response	n/a	201
39.1982	0.3	40140	stimulus	n/a	165
39.5566	0.0	40507	response	n/a	201
40.7637	0.3	41743	stimulus	n/a	22
41.0605	0.0	42047	response	n/a	201
42.2139	0.3	43228	stimulus	n/a	171
42.5732	0.0	43596	response	n/a	202
43.7461	0.3	44797	stimulus	n/a	67
44.0771	0.0	45136	response	n/a	201
45.3457	0.3	46435	stimulus	n/a	164
45.5811	0.0	46676	response	n/a	201
46.8447	0.3	47970	stimulus	n/a	172
47.1807	0.0	48314	response	n/a	201
48.2949	0.3	49455	stimulus	n/a	63
48.6123	0.0	49780	response	n/a	201
49.7109	0.3	50905	stimulus	n/a	131
50.0850	0.0	51288	response	n/a	201
51.2598	0.3	52491	stimulus	n/a	18
51.5488	0.0	52787	response	n/a	201
52.6768	0.3	53942	stimulus	n/a	113
52.9883	0.0	54261	response	n/a	201
54.1924	0.3	55494	stimulus	n/a	102
54.5811	0.0	55892	response	n/a	201
55.6416	0.3	56978	stimulus	n/a	173
56.0449	0.0	57391	response	n/a	201
57.0918	0.3	58463	stimulus	n/a	24
57.3643	0.0	58742	response	n/a	201
58.4912	0.3	59896	stimulus	n/a	8
58.8447	0.0	60258	response	n/a	201
59.9404	0.3	61380	stimulus	n/a	14
60.2529	0.0	61700	response	n/a	201
61.3896	0.3	62864	stimulus	n/a	137
61.5889	0.0	63068	response	n/a	201
66.8047	0.3	68409	stimulus	n/a	121
67.2920	0.0	68908	response	n/a	201
68.3545	0.3	69996	stimulus	n/a	128
68.7959	0.0	70448	response	n/a	201
69.9033	0.3	71582	stimulus	n/a	28
70.1641	0.0	71849	response	n/a	201
71.5029	0.3	73220	stimulus	n/a	175
71.7402	0.0	73463	response	n/a	201
73.0859	0.3	74841	stimulus	n/a	52
73.3398	0.0	75101	response	n/a	201
74.5186	0.3	76308	stimulus	n/a	9
74.8281	0.0	76625	response	n/a	202
76.0352	0.3	77861	stimulus	n/a	66
76.2686	0.0	78100	response	n/a	202
77.5674	0.3	79430	stimulus	n/a	107
77.8838	0.0	79754	response	n/a	201
79.1006	0.3	81000	stimulus	n/a	156
79.4844	0.0	81393	response	n/a	201
80.5664	0.3	82501	stimulus	n/a	10
80.8604	0.0	82802	response	n/a	201
81.9990	0.3	83968	stimulus	n/a	1
82.2441	0.0	84219	response	n/a	201
83.5654	0.3	85572	stimulus	n/a	15
83.8438	0.0	85857	response	n/a	201
85.0146	0.3	87056	stimulus	n/a	26
85.3076	0.0	87356	response	n/a	201
86.5645	0.3	88643	stimulus	n/a	50
86.7637	0.0	88847	response	n/a	202
87.9805	0.3	90093	stimulus	n/a	62
89.4795	0.3	91628	stimulus	n/a	51
89.7236	0.0	91878	response	n/a	202
90.9961	0.3	93181	stimulus	n/a	76
91.2754	0.0	93467	response	n/a	201
92.4785	0.3	94699	stimulus	n/a	125
92.7959	0.0	95024	response	n/a	202
94.0449	0.3	96303	stimulus	n/a	47
94.3799	0.0	96646	response	n/a	202
95.6279	0.3	97924	stimulus	n/a	3
95.9473	0.0	98251	response	n/a	201
97.0771	0.3	99408	stimulus	n/a	2
97.4033	0.0	99742	response	n/a	201
98.6104	0.3	100978	stimulus	n/a	57
98.8838	0.0	101258	response	n/a	202
100.1592	0.3	102564	stimulus	n/a	176
100.5557	0.0	102970	response	n/a	202
101.6260	0.3	104066	stimulus	n/a	108
101.8672	0.0	104313	response	n/a	202
103.0918	0.3	105567	stimulus	n/a	167
103.5312	0.0	106017	response	n/a	201
104.6074	0.3	107119	stimulus	n/a	122
104.8438	0.0	107361	response	n/a	202
106.0742	0.3	108621	stimulus	n/a	65
106.4199	0.0	108975	response	n/a	201
107.6572	0.3	110242	stimulus	n/a	110
108.0273	0.0	110621	response	n/a	201
109.1064	0.3	111726	stimulus	n/a	60
109.4590	0.0	112087	response	n/a	202
110.6221	0.3	113278	stimulus	n/a	6
110.9551	0.0	113619	response	n/a	201
112.1221	0.3	114814	stimulus	n/a	56
112.4111	0.0	115110	response	n/a	201
113.6543	0.3	116383	stimulus	n/a	101
114.0029	0.0	116740	response	n/a	201
115.1045	0.3	117868	stimulus	n/a	111
115.3633	0.0	118133	response	n/a	202
116.5537	0.3	119352	stimulus	n/a	64
116.8271	0.0	119632	response	n/a	201
118.0859	0.3	120921	stimulus	n/a	135
118.4355	0.0	121279	response	n/a	201
119.5195	0.3	122389	stimulus	n/a	160
119.9395	0.0	122819	response	n/a	201
121.0850	0.3	123992	stimulus	n/a	169
121.3232	0.0	124236	response	n/a	202
122.6846	0.3	125630	stimulus	n/a	166
122.9707	0.0	125923	response	n/a	201
124.1172	0.3	127097	stimulus	n/a	11
124.4355	0.0	127423	response	n/a	201
125.7002	0.3	128718	stimulus	n/a	41
125.9551	0.0	128979	response	n/a	202
191.9268	0.3	196534	stimulus	n/a	38
192.2656	0.0	196881	response	n/a	201
193.4600	0.3	198104	stimulus	n/a	20
193.8340	0.0	198487	response	n/a	201
194.9590	0.3	199639	stimulus	n/a	48
195.3457	0.0	200035	response	n/a	201
196.4082	0.3	201123	stimulus	n/a	116
196.8496	0.0	201575	response	n/a	201
197.8418	0.3	202591	stimulus	n/a	73
198.1699	0.0	202927	response	n/a	202
199.4238	0.3	204211	stimulus	n/a	39
199.7139	0.0	204508	response	n/a	201
200.8740	0.3	205696	stimulus	n/a	151
201.1611	0.0	205990	response	n/a	201
202.3896	0.3	207248	stimulus	n/a	127
202.6572	0.0	207522	response	n/a	202
203.9395	0.3	208835	stimulus	n/a	49
204.2178	0.0	209120	response	n/a	201
205.4053	0.3	210336	stimulus	n/a	5
205.7695	0.0	210709	response	n/a	201
206.8047	0.3	211769	stimulus	n/a	144
207.2178	0.0	212192	response	n/a	202
208.3213	0.3	213322	stimulus	n/a	117
208.7930	0.0	213805	response	n/a	201
209.7871	0.3	214823	stimulus	n/a	79
210.1133	0.0	215157	response	n/a	201
211.3369	0.3	216410	stimulus	n/a	78
211.6250	0.0	216705	response	n/a	202
212.8359	0.3	217945	stimulus	n/a	143
213.2090	0.0	218327	response	n/a	201
214.4023	0.3	219549	stimulus	n/a	30
214.6895	0.0	219843	response	n/a	201
215.8184	0.3	220999	stimulus	n/a	36
216.1689	0.0	221358	response	n/a	201
217.2510	0.3	222466	stimulus	n/a	42
217.6416	0.0	222866	response	n/a	201
218.7168	0.3	223967	stimulus	n/a	16
219.0088	0.0	224266	response	n/a	201
220.2334	0.3	225520	stimulus	n/a	106
220.7773	0.0	226077	response	n/a	201
221.7490	0.3	227072	stimulus	n/a	115
222.1934	0.0	227527	response	n/a	201
223.1494	0.3	228506	stimulus	n/a	120
223.5127	0.0	228878	response	n/a	201
224.5986	0.3	229990	stimulus	n/a	155
224.9932	0.0	230394	response	n/a	201
226.0645	0.3	231491	stimulus	n/a	180
226.2969	0.0	231729	response	n/a	202
227.6475	0.3	233112	stimulus	n/a	168
228.0488	0.0	233523	response	n/a	201
229.0967	0.3	234596	stimulus	n/a	4
229.3613	0.0	234867	response	n/a	201
230.5967	0.3	236132	stimulus	n/a	146
230.9854	0.0	236530	response	n/a	201
232.0127	0.3	237582	stimulus	n/a	157
232.3125	0.0	237889	response	n/a	201
233.4453	0.3	239049	stimulus	n/a	33
233.7285	0.0	239339	response	n/a	201
234.9111	0.3	240550	stimulus	n/a	133
235.2812	0.0	240929	response	n/a	201
236.4609	0.3	242137	stimulus	n/a	153
236.7285	0.0	242411	response	n/a	201
237.9766	0.3	243689	stimulus	n/a	19
238.2324	0.0	243951	response	n/a	201
239.4932	0.3	245242	stimulus	n/a	55
239.7285	0.0	245483	response	n/a	202
241.0264	0.3	246812	stimulus	n/a	112
241.3848	0.0	247179	response	n/a	202
242.5420	0.3	248364	stimulus	n/a	104
243.1367	0.0	248973	response	n/a	201
244.0752	0.3	249934	stimulus	n/a	139
244.4326	0.0	250300	response	n/a	201
245.4912	0.3	251384	stimulus	n/a	23
245.8721	0.0	251774	response	n/a	201
246.9570	0.3	252885	stimulus	n/a	68
247.2803	0.0	253216	response	n/a	202
248.4902	0.3	254455	stimulus	n/a	138
248.8643	0.0	254838	response	n/a	201
249.9893	0.3	255990	stimulus	n/a	12
250.2881	0.0	256296	response	n/a	201
255.4541	0.3	261586	stimulus	n/a	31
255.8965	0.0	262039	response	n/a	201
256.9531	0.3	263121	stimulus	n/a	145
257.3604	0.0	263538	response	n/a	201
258.4033	0.3	264606	stimulus	n/a	179
258.7441	0.0	264955	response	n/a	201
259.9521	0.3	266192	stimulus	n/a	58
260.2725	0.0	266520	response	n/a	202
261.3516	0.3	267625	stimulus	n/a	159
261.7520	0.0	268035	response	n/a	201
262.8018	0.3	269110	stimulus	n/a	130
263.0400	0.0	269354	response	n/a	202
264.3340	0.3	270679	stimulus	n/a	118
264.7041	0.0	271058	response	n/a	201
265.8008	0.3	272181	stimulus	n/a	154
266.2324	0.0	272623	response	n/a	201
267.2168	0.3	273631	stimulus	n/a	114
267.5117	0.0	273933	response	n/a	201
268.7822	0.3	275234	stimulus	n/a	103
269.1523	0.0	275613	response	n/a	201
270.2822	0.3	276770	stimulus	n/a	170
270.6318	0.0	277128	response	n/a	201
271.7148	0.3	278237	stimulus	n/a	29
272.0879	0.0	278619	response	n/a	201
273.1143	0.3	279670	stimulus	n/a	136
273.3516	0.0	279913	response	n/a	201
274.6641	0.3	281257	stimulus	n/a	34
274.8555	0.0	281453	response	n/a	201
276.2471	0.3	282878	stimulus	n/a	147
276.5361	0.0	283174	response	n/a	201
277.7793	0.3	284447	stimulus	n/a	74
278.1357	0.0	284812	response	n/a	201
279.2793	0.3	285983	stimulus	n/a	71
279.7842	0.0	286500	response	n/a	201
280.6953	0.3	287433	stimulus	n/a	142
281.2314	0.0	287982	response	n/a	201
282.2949	0.3	289071	stimulus	n/a	61
282.6641	0.0	289449	response	n/a	201
283.8438	0.3	290657	stimulus	n/a	123
284.0957	0.0	290915	response	n/a	201
285.4434	0.3	292295	stimulus	n/a	177
285.7842	0.0	292644	response	n/a	201
286.9434	0.3	293831	stimulus	n/a	124
287.2793	0.0	294175	response	n/a	201
288.3760	0.3	295298	stimulus	n/a	161
288.7354	0.0	295666	response	n/a	201
289.7754	0.3	296731	stimulus	n/a	70
290.1191	0.0	297083	response	n/a	202
291.3242	0.3	298317	stimulus	n/a	80
291.6074	0.0	298607	response	n/a	202
292.9238	0.3	299955	stimulus	n/a	178
293.3359	0.0	300377	response	n/a	201
294.3232	0.3	301388	stimulus	n/a	54
294.6475	0.0	301720	response	n/a	201
295.8232	0.3	302924	stimulus	n/a	17
296.1436	0.0	303252	response	n/a	201
297.3223	0.3	304459	stimulus	n/a	140
297.6553	0.0	304800	response	n/a	201
298.7725	0.3	305944	stimulus	n/a	72
299.0713	0.0	306250	response	n/a	201
300.3379	0.3	307547	stimulus	n/a	37
300.6797	0.0	307897	response	n/a	202
301.8379	0.3	309083	stimulus	n/a	13
302.0957	0.0	309347	response	n/a	201
303.3037	0.3	310584	stimulus	n/a	75
303.7354	0.0	311026	response	n/a	202
304.7031	0.3	312017	stimulus	n/a	45
304.9912	0.0	312312	response	n/a	201
306.3027	0.3	313655	stimulus	n/a	59
306.6309	0.0	313991	response	n/a	202
307.8525	0.3	315242	stimulus	n/a	148
308.2871	0.0	315687	response	n/a	201
309.3350	0.3	316760	stimulus	n/a	141
309.6309	0.0	317063	response	n/a	202
310.9346	0.3	318398	stimulus	n/a	27
311.2627	0.0	318734	response	n/a	201
312.5176	0.3	320019	stimulus	n/a	11
312.8076	0.0	320316	response	n/a	202
314.0000	0.3	321537	stimulus	n/a	29
314.3906	0.0	321937	response	n/a	201
319.7812	0.3	327457	stimulus	n/a	107
320.1670	0.0	327852	response	n/a	201
321.3311	0.3	329044	stimulus	n/a	127
321.6553	0.0	329376	response	n/a	201
322.8633	0.3	330613	stimulus	n/a	103
323.3105	0.0	331071	response	n/a	201
324.3633	0.3	332149	stimulus	n/a	67
324.7988	0.0	332595	response	n/a	201
325.9287	0.3	333752	stimulus	n/a	150
326.2793	0.0	334111	response	n/a	201
327.3955	0.3	335254	stimulus	n/a	163
327.7832	0.0	335651	response	n/a	201
328.9775	0.3	336874	stimulus	n/a	165
329.3428	0.0	337248	response	n/a	201
330.5605	0.3	338495	stimulus	n/a	167
330.9512	0.0	338895	response	n/a	201
332.1602	0.3	340133	stimulus	n/a	72
332.5508	0.0	340533	response	n/a	202
333.6426	0.3	341651	stimulus	n/a	130
334.1748	0.0	342196	response	n/a	201
335.1094	0.3	343153	stimulus	n/a	9
335.4150	0.0	343466	response	n/a	201
336.5752	0.3	344654	stimulus	n/a	70
337.0947	0.0	345186	response	n/a	201
338.0742	0.3	346189	stimulus	n/a	65
338.4551	0.0	346579	response	n/a	201
339.6738	0.3	347827	stimulus	n/a	113
340.0068	0.0	348168	response	n/a	201
341.1904	0.3	349380	stimulus	n/a	3
341.6309	0.0	349831	response	n/a	201
342.6396	0.3	350864	stimulus	n/a	134
342.9902	0.0	351223	response	n/a	201
344.0889	0.3	352348	stimulus	n/a	102
344.4785	0.0	352747	response	n/a	201
345.4883	0.3	353781	stimulus	n/a	178
345.8867	0.0	354189	response	n/a	201
346.9551	0.3	355283	stimulus	n/a	4
347.3506	0.0	355688	response	n/a	201
348.4541	0.3	356818	stimulus	n/a	179
348.8701	0.0	357244	response	n/a	201
350.0371	0.3	358439	stimulus	n/a	62
350.3428	0.0	358752	response	n/a	201
351.6035	0.3	360043	stimulus	n/a	28
351.8301	0.0	360275	response	n/a	202
353.0195	0.3	361493	stimulus	n/a	120
353.4307	0.0	361914	response	n/a	201
354.4521	0.3	362960	stimulus	n/a	58
354.8066	0.0	363323	response	n/a	202
355.8848	0.3	364427	stimulus	n/a	40
356.2539	0.0	364805	response	n/a	201
357.3008	0.3	365877	stimulus	n/a	139
357.7666	0.0	366354	response	n/a	201
358.8340	0.3	367447	stimulus	n/a	52
359.1025	0.0	367722	response	n/a	201
360.4336	0.3	369085	stimulus	n/a	1
360.7178	0.0	369376	response	n/a	202
361.8496	0.3	370535	stimulus	n/a	143
362.2705	0.0	370966	response	n/a	201
