onset	duration	sample	trial_type	stim_file	value
64.6230	0.0	66175	response	n/a	202
66.3838	0.0	67978	response	n/a	202
70.3447	0.2	72034	stimulus	n/a	111
71.4941	0.2	73211	stimulus	n/a	211
72.2549	0.0	73990	response	n/a	201
73.2432	0.2	75002	stimulus	n/a	121
74.3926	0.2	76179	stimulus	n/a	221
75.6631	0.0	77480	response	n/a	202
76.1260	0.2	77954	stimulus	n/a	111
77.4248	0.2	79284	stimulus	n/a	211
78.2471	0.0	80126	response	n/a	201
79.1748	0.2	81076	stimulus	n/a	111
80.2910	0.2	82219	stimulus	n/a	211
80.6953	0.0	82633	response	n/a	201
81.9570	0.2	83925	stimulus	n/a	121
83.0898	0.2	85085	stimulus	n/a	221
83.9268	0.0	85942	response	n/a	201
84.8223	0.2	86859	stimulus	n/a	121
86.0557	0.2	88122	stimulus	n/a	221
87.0547	0.0	89145	response	n/a	201
87.7881	0.2	89896	stimulus	n/a	121
88.8877	0.2	91022	stimulus	n/a	221
89.9111	0.0	92070	response	n/a	201
90.5205	0.2	92694	stimulus	n/a	121
91.7197	0.2	93922	stimulus	n/a	221
92.7744	0.0	95002	response	n/a	202
93.4531	0.2	95697	stimulus	n/a	121
94.7520	0.2	97027	stimulus	n/a	221
95.7988	0.0	98099	response	n/a	201
96.4346	0.2	98750	stimulus	n/a	111
97.6680	0.2	100013	stimulus	n/a	211
98.3350	0.0	100696	response	n/a	201
99.4004	0.2	101787	stimulus	n/a	111
100.5664	0.2	102981	stimulus	n/a	211
101.1982	0.0	103628	response	n/a	201
102.2334	0.2	104688	stimulus	n/a	111
103.4492	0.2	105933	stimulus	n/a	211
104.1025	0.0	106602	response	n/a	201
105.2314	0.2	107758	stimulus	n/a	121
106.4482	0.2	109004	stimulus	n/a	221
107.2227	0.0	109797	response	n/a	201
108.2471	0.2	110846	stimulus	n/a	111
109.4473	0.2	112075	stimulus	n/a	211
110.2148	0.0	112861	response	n/a	201
111.1631	0.2	113832	stimulus	n/a	121
112.2959	0.2	114992	stimulus	n/a	221
