onset	duration	sample	trial_type	stim_file	value	event_type
1.4541	0.0	1490	response	n/a	202	incorrect_response
5.7021	0.0	5840	response	n/a	202	incorrect_response
9.8359	0.3	10073	stimulus	n/a	18	face
10.1094	0.0	10353	response	n/a	201	correct_response
11.4014	0.3	11676	stimulus	n/a	168	scrambled_car
11.7256	0.0	12008	response	n/a	201	correct_response
12.9678	0.3	13280	stimulus	n/a	124	scrambled_face
13.4219	0.0	13745	response	n/a	201	correct_response
14.4834	0.3	14832	stimulus	n/a	14	face
14.9092	0.0	15268	response	n/a	201	correct_response
15.9668	0.3	16351	stimulus	n/a	101	scrambled_face
16.374	0.0	16768	response	n/a	201	correct_response
17.4492	0.3	17869	stimulus	n/a	123	scrambled_face
17.7734	0.0	18201	response	n/a	201	correct_response
18.916	0.3	19371	stimulus	n/a	38	face
19.4531	0.0	19921	response	n/a	201	correct_response
20.3818	0.3	20872	stimulus	n/a	150	scrambled_car
20.8057	0.0	21306	response	n/a	201	correct_response
21.9482	0.3	22476	stimulus	n/a	140	scrambled_face
22.3174	0.0	22854	response	n/a	201	correct_response
23.3809	0.3	23943	stimulus	n/a	36	face
23.7334	0.0	24304	response	n/a	201	correct_response
24.9297	0.3	25529	stimulus	n/a	106	scrambled_face
25.333	0.0	25942	response	n/a	201	correct_response
26.3965	0.3	27031	stimulus	n/a	121	scrambled_face
26.7656	0.0	27409	response	n/a	201	correct_response
27.9619	0.3	28634	stimulus	n/a	40	face
28.2529	0.0	28932	response	n/a	201	correct_response
29.5449	0.3	30255	stimulus	n/a	7	face
29.8135	0.0	30530	response	n/a	201	correct_response
31.1113	0.3	31859	stimulus	n/a	173	scrambled_car
31.373	0.0	32127	response	n/a	201	correct_response
32.6943	0.3	33480	stimulus	n/a	29	face
32.917	0.0	33708	response	n/a	201	correct_response
34.1436	0.3	34964	stimulus	n/a	132	scrambled_face
34.5254	0.0	35355	response	n/a	201	correct_response
35.7266	0.3	36585	stimulus	n/a	69	car
35.917	0.0	36780	response	n/a	201	correct_response
37.292	0.3	38188	stimulus	n/a	10	face
