onset	duration	sample	trial_type	stim_file	value	event_type
4.291	0.0	4395	response	n/a	202	incorrect_response
8.5029	0.3	8708	stimulus	n/a	59	car
9.002	0.0	9219	response	n/a	201	correct_response
9.9365	0.3	10176	stimulus	n/a	3	face
10.4424	0.0	10694	response	n/a	201	correct_response
11.3691	0.3	11643	stimulus	n/a	55	car
11.7383	0.0	12021	response	n/a	201	correct_response
12.8516	0.3	13161	stimulus	n/a	133	scrambled_face
13.1865	0.0	13504	response	n/a	202	incorrect_response
14.3682	0.3	14714	stimulus	n/a	146	scrambled_car
14.7383	0.0	15093	response	n/a	201	correct_response
15.8506	0.3	16232	stimulus	n/a	127	scrambled_face
16.2344	0.0	16625	response	n/a	201	correct_response
17.334	0.3	17751	stimulus	n/a	135	scrambled_face
17.6504	0.0	18075	response	n/a	201	correct_response
18.8496	0.3	19303	stimulus	n/a	45	car
19.2744	0.0	19738	response	n/a	201	correct_response
20.416	0.3	20907	stimulus	n/a	58	car
20.8018	0.0	21302	response	n/a	201	correct_response
21.9482	0.3	22476	stimulus	n/a	123	scrambled_face
22.2266	0.0	22761	response	n/a	201	correct_response
23.4482	0.3	24012	stimulus	n/a	117	scrambled_face
23.8018	0.0	24374	response	n/a	201	correct_response
25.0146	0.3	25616	stimulus	n/a	62	car
25.418	0.0	26029	response	n/a	201	correct_response
26.5801	0.3	27219	stimulus	n/a	174	scrambled_car
26.9141	0.0	27561	response	n/a	201	correct_response
28.1299	0.3	28806	stimulus	n/a	19	face
28.4902	0.0	29175	response	n/a	201	correct_response
29.5459	0.3	30256	stimulus	n/a	42	car
29.9463	0.0	30666	response	n/a	201	correct_response
31.0283	0.3	31774	stimulus	n/a	176	scrambled_car
31.5615	0.0	32320	response	n/a	201	correct_response
32.5615	0.3	33344	stimulus	n/a	69	car
33.0742	0.0	33869	response	n/a	201	correct_response
34.0771	0.3	34896	stimulus	n/a	178	scrambled_car
34.3379	0.0	35163	response	n/a	201	correct_response
35.6436	0.3	36500	stimulus	n/a	56	car
36.0176	0.0	36883	response	n/a	201	correct_response
37.1436	0.3	38036	stimulus	n/a	145	scrambled_car
37.4414	0.0	38341	response	n/a	201	correct_response
38.5596	0.3	39486	stimulus	n/a	70	car
39.042	0.0	39980	response	n/a	201	correct_response
40.0752	0.3	41038	stimulus	n/a	4	face
40.5215	0.0	41495	response	n/a	201	correct_response
41.5752	0.3	42574	stimulus	n/a	136	scrambled_face
42.0098	0.0	43019	response	n/a	201	correct_response
43.0908	0.3	44126	stimulus	n/a	107	scrambled_face
43.4814	0.0	44526	response	n/a	201	correct_response
44.5068	0.3	45576	stimulus	n/a	116	scrambled_face
44.874	0.0	45952	response	n/a	201	correct_response
45.9404	0.3	47044	stimulus	n/a	104	scrambled_face
46.2979	0.0	47410	response	n/a	201	correct_response
47.4893	0.3	48630	stimulus	n/a	61	car
47.874	0.0	49024	response	n/a	201	correct_response
48.9893	0.3	50166	stimulus	n/a	147	scrambled_car
49.29	0.0	50474	response	n/a	201	correct_response
50.4219	0.3	51633	stimulus	n/a	169	scrambled_car
50.7852	0.0	52005	response	n/a	201	correct_response
51.8213	0.3	53066	stimulus	n/a	74	car
52.2891	0.0	53545	response	n/a	201	correct_response
53.2539	0.3	54533	stimulus	n/a	102	scrambled_face
53.6016	0.0	54889	response	n/a	201	correct_response
54.7207	0.3	56035	stimulus	n/a	170	scrambled_car
55.0576	0.0	56380	response	n/a	201	correct_response
56.1699	0.3	57519	stimulus	n/a	35	face
56.4971	0.0	57854	response	n/a	201	correct_response
57.7529	0.3	59140	stimulus	n/a	16	face
58.2578	0.0	59657	response	n/a	201	correct_response
59.252	0.3	60675	stimulus	n/a	12	face
59.585	0.0	61016	response	n/a	201	correct_response
60.7344	0.3	62193	stimulus	n/a	110	scrambled_face
61.2334	0.0	62704	response	n/a	201	correct_response
62.2842	0.3	63780	stimulus	n/a	105	scrambled_face
62.6572	0.0	64162	response	n/a	201	correct_response
63.7002	0.3	65230	stimulus	n/a	139	scrambled_face
64.0732	0.0	65612	response	n/a	201	correct_response
65.167	0.3	66732	stimulus	n/a	158	scrambled_car
65.6494	0.0	67226	response	n/a	201	correct_response
66.6992	0.3	68301	stimulus	n/a	109	scrambled_face
67.0176	0.0	68627	response	n/a	201	correct_response
99.3877	0.3	101774	stimulus	n/a	24	face
100.0088	0.0	102410	response	n/a	201	correct_response
100.9033	0.3	103326	stimulus	n/a	38	face
101.248	0.0	103679	response	n/a	201	correct_response
102.3369	0.3	104794	stimulus	n/a	53	car
102.7285	0.0	105195	response	n/a	201	correct_response
103.8691	0.3	106363	stimulus	n/a	150	scrambled_car
104.2168	0.0	106719	response	n/a	201	correct_response
105.3359	0.3	107865	stimulus	n/a	124	scrambled_face
105.7207	0.0	108259	response	n/a	201	correct_response
106.752	0.3	109315	stimulus	n/a	41	car
107.0879	0.0	109659	response	n/a	201	correct_response
108.2842	0.3	110884	stimulus	n/a	48	car
108.7207	0.0	111331	response	n/a	202	incorrect_response
109.8008	0.3	112437	stimulus	n/a	144	scrambled_car
110.2725	0.0	112920	response	n/a	201	correct_response
111.25	0.3	113921	stimulus	n/a	120	scrambled_face
111.6162	0.0	114296	response	n/a	201	correct_response
112.75	0.3	115457	stimulus	n/a	122	scrambled_face
113.1279	0.0	115844	response	n/a	201	correct_response
114.2656	0.3	117009	stimulus	n/a	155	scrambled_car
114.6562	0.0	117409	response	n/a	201	correct_response
115.7656	0.3	118545	stimulus	n/a	80	car
116.168	0.0	118957	response	n/a	201	correct_response
117.2646	0.3	120080	stimulus	n/a	164	scrambled_car
117.7363	0.0	120563	response	n/a	201	correct_response
118.8145	0.3	121667	stimulus	n/a	11	face
119.1357	0.0	121996	response	n/a	201	correct_response
120.2471	0.3	123134	stimulus	n/a	43	car
120.9043	0.0	123807	response	n/a	202	incorrect_response
121.6963	0.3	124618	stimulus	n/a	140	scrambled_face
122.0078	0.0	124937	response	n/a	201	correct_response
123.1289	0.3	126085	stimulus	n/a	152	scrambled_car
123.5361	0.0	126502	response	n/a	201	correct_response
124.6289	0.3	127621	stimulus	n/a	50	car
125.0723	0.0	128075	response	n/a	201	correct_response
126.1611	0.3	129190	stimulus	n/a	60	car
126.5439	0.0	129582	response	n/a	201	correct_response
127.5947	0.3	130658	stimulus	n/a	6	face
128.0	0.0	131073	response	n/a	201	correct_response
129.0605	0.3	132159	stimulus	n/a	132	scrambled_face
129.3994	0.0	132506	response	n/a	202	incorrect_response
130.5762	0.3	133711	stimulus	n/a	46	car
131.208	0.0	134358	response	n/a	201	correct_response
132.0762	0.3	135247	stimulus	n/a	171	scrambled_car
132.3438	0.0	135521	response	n/a	201	correct_response
133.5918	0.3	136799	stimulus	n/a	138	scrambled_face
134.0078	0.0	137225	response	n/a	201	correct_response
135.0254	0.3	138267	stimulus	n/a	108	scrambled_face
135.3193	0.0	138568	response	n/a	201	correct_response
136.4912	0.3	139768	stimulus	n/a	131	scrambled_face
136.8398	0.0	140125	response	n/a	201	correct_response
137.9902	0.3	141303	stimulus	n/a	54	car
138.3994	0.0	141722	response	n/a	201	correct_response
139.54	0.3	142890	stimulus	n/a	49	car
139.9834	0.0	143344	response	n/a	201	correct_response
141.123	0.3	144511	stimulus	n/a	130	scrambled_face
141.5195	0.0	144917	response	n/a	201	correct_response
142.7227	0.3	146149	stimulus	n/a	106	scrambled_face
143.0879	0.0	146523	response	n/a	201	correct_response
144.1553	0.3	147616	stimulus	n/a	33	face
144.5996	0.0	148071	response	n/a	201	correct_response
145.7207	0.3	149219	stimulus	n/a	143	scrambled_car
146.0879	0.0	149595	response	n/a	201	correct_response
147.3203	0.3	150857	stimulus	n/a	151	scrambled_car
147.6631	0.0	151208	response	n/a	201	correct_response
148.8535	0.3	152427	stimulus	n/a	180	scrambled_car
149.1992	0.0	152781	response	n/a	201	correct_response
150.4365	0.3	154048	stimulus	n/a	66	car
150.8154	0.0	154436	response	n/a	201	correct_response
152.0352	0.3	155685	stimulus	n/a	15	face
152.9434	0.0	156615	response	n/a	201	correct_response
153.5684	0.3	157255	stimulus	n/a	64	car
154.1758	0.0	157877	response	n/a	201	correct_response
155.001	0.3	158722	stimulus	n/a	103	scrambled_face
155.4951	0.0	159228	response	n/a	201	correct_response
156.584	0.3	160343	stimulus	n/a	153	scrambled_car
156.9512	0.0	160719	response	n/a	201	correct_response
158.1836	0.3	161981	stimulus	n/a	115	scrambled_face
158.5508	0.0	162357	response	n/a	201	correct_response
200.418	0.3	205229	stimulus	n/a	63	car
201.0859	0.0	205913	response	n/a	201	correct_response
201.834	0.3	206679	stimulus	n/a	40	face
202.1426	0.0	206995	response	n/a	201	correct_response
203.251	0.3	208130	stimulus	n/a	37	face
203.5186	0.0	208404	response	n/a	201	correct_response
204.7832	0.3	209699	stimulus	n/a	14	face
205.0547	0.0	209977	response	n/a	201	correct_response
206.3828	0.3	211337	stimulus	n/a	141	scrambled_car
206.7422	0.0	211705	response	n/a	201	correct_response
207.9824	0.3	212975	stimulus	n/a	8	face
208.3418	0.0	213343	response	n/a	201	correct_response
209.5488	0.3	214579	stimulus	n/a	28	face
209.9658	0.0	215006	response	n/a	201	correct_response
211.0645	0.3	216131	stimulus	n/a	44	car
211.4619	0.0	216538	response	n/a	202	incorrect_response
212.6143	0.3	217718	stimulus	n/a	71	car
213.0537	0.0	218168	response	n/a	201	correct_response
214.0967	0.3	219236	stimulus	n/a	72	car
214.4463	0.0	219594	response	n/a	201	correct_response
215.6133	0.3	220789	stimulus	n/a	31	face
216.1016	0.0	221289	response	n/a	201	correct_response
217.1455	0.3	222358	stimulus	n/a	157	scrambled_car
217.5098	0.0	222731	response	n/a	201	correct_response
218.7119	0.3	223962	stimulus	n/a	34	face
219.0381	0.0	224296	response	n/a	201	correct_response
220.2949	0.3	225583	stimulus	n/a	121	scrambled_face
220.6855	0.0	225983	response	n/a	201	correct_response
221.7939	0.3	227118	stimulus	n/a	30	face
222.0703	0.0	227401	response	n/a	201	correct_response
223.2939	0.3	228654	stimulus	n/a	36	face
223.6621	0.0	229031	response	n/a	201	correct_response
224.7266	0.3	230121	stimulus	n/a	65	car
225.1494	0.0	230554	response	n/a	201	correct_response
226.2422	0.3	231673	stimulus	n/a	134	scrambled_face
226.4941	0.0	231931	response	n/a	201	correct_response
227.6416	0.3	233106	stimulus	n/a	39	face
227.9658	0.0	233438	response	n/a	201	correct_response
229.1914	0.3	234693	stimulus	n/a	17	face
229.5576	0.0	235068	response	n/a	201	correct_response
