onset	duration	sample	trial_type	stim_file	value
1.0703	0.0	1097	response	n/a	202
7.2783	0.0	7454	response	n/a	202
11.2520	0.2	11523	stimulus	n/a	111
12.4521	0.2	12752	stimulus	n/a	211
13.5186	0.0	13844	response	n/a	201
14.0674	0.2	14406	stimulus	n/a	111
15.2344	0.2	15601	stimulus	n/a	211
15.9902	0.0	16375	response	n/a	201
16.9502	0.2	17358	stimulus	n/a	111
18.1826	0.2	18620	stimulus	n/a	211
19.0938	0.0	19553	response	n/a	201
19.9160	0.2	20395	stimulus	n/a	121
21.1982	0.2	21708	stimulus	n/a	221
22.0137	0.0	22543	response	n/a	201
22.9482	0.2	23500	stimulus	n/a	111
24.2139	0.2	24796	stimulus	n/a	211
25.5342	0.0	26148	response	n/a	201
25.9473	0.2	26571	stimulus	n/a	111
27.1299	0.2	27782	stimulus	n/a	211
27.7979	0.0	28466	response	n/a	201
28.7461	0.2	29437	stimulus	n/a	111
29.9785	0.2	30699	stimulus	n/a	211
30.6699	0.0	31407	response	n/a	201
31.7617	0.2	32525	stimulus	n/a	111
33.0615	0.2	33856	stimulus	n/a	211
34.2939	0.0	35118	response	n/a	201
34.8438	0.2	35681	stimulus	n/a	111
36.1436	0.2	37012	stimulus	n/a	211
36.9258	0.0	37813	response	n/a	201
37.8428	0.2	38752	stimulus	n/a	121
39.1260	0.2	40066	stimulus	n/a	221
40.1016	0.0	41065	response	n/a	201
40.7588	0.2	41738	stimulus	n/a	121
41.9746	0.2	42983	stimulus	n/a	221
42.7812	0.0	43809	response	n/a	201
43.7070	0.2	44757	stimulus	n/a	111
44.9072	0.2	45986	stimulus	n/a	211
45.6699	0.0	46767	response	n/a	201
46.5234	0.2	47641	stimulus	n/a	111
47.8057	0.2	48954	stimulus	n/a	211
48.4219	0.0	49585	response	n/a	201
49.5557	0.2	50746	stimulus	n/a	121
50.8379	0.2	52059	stimulus	n/a	221
52.0215	0.0	53271	response	n/a	201
52.5371	0.2	53799	stimulus	n/a	121
53.7871	0.2	55079	stimulus	n/a	221
54.6377	0.0	55950	response	n/a	201
55.5693	0.2	56904	stimulus	n/a	121
56.8359	0.2	58201	stimulus	n/a	221
57.6455	0.0	59030	response	n/a	201
58.6357	0.2	60044	stimulus	n/a	121
59.8516	0.2	61289	stimulus	n/a	221
60.8691	0.0	62331	response	n/a	201
61.5176	0.2	62995	stimulus	n/a	121
62.6504	0.2	64155	stimulus	n/a	221
63.9092	0.0	65444	response	n/a	202
64.2832	0.2	65827	stimulus	n/a	111
65.4824	0.2	67055	stimulus	n/a	211
66.2373	0.0	67828	response	n/a	201
67.1826	0.2	68796	stimulus	n/a	111
68.3652	0.2	70007	stimulus	n/a	211
70.2930	0.0	71981	response	n/a	202
86.3086	0.2	88381	stimulus	n/a	121
87.5088	0.2	89610	stimulus	n/a	221
88.2686	0.0	90388	response	n/a	201
89.2246	0.2	91367	stimulus	n/a	111
90.3906	0.2	92561	stimulus	n/a	211
91.1562	0.0	93345	response	n/a	201
92.0234	0.2	94233	stimulus	n/a	121
93.1396	0.2	95376	stimulus	n/a	221
94.1807	0.0	96442	response	n/a	201
94.8057	0.2	97082	stimulus	n/a	111
95.9717	0.2	98276	stimulus	n/a	211
97.0205	0.0	99350	response	n/a	202
97.7051	0.2	100051	stimulus	n/a	121
98.8711	0.2	101245	stimulus	n/a	221
99.5967	0.0	101988	response	n/a	201
100.6367	0.2	103053	stimulus	n/a	111
101.9199	0.2	104367	stimulus	n/a	211
102.8281	0.0	105297	response	n/a	201
103.6689	0.2	106158	stimulus	n/a	111
104.8359	0.2	107353	stimulus	n/a	211
105.7646	0.0	108304	response	n/a	201
106.5186	0.2	109076	stimulus	n/a	121
107.7344	0.2	110321	stimulus	n/a	221
108.5000	0.0	111105	response	n/a	201
109.4170	0.2	112044	stimulus	n/a	111
110.7168	0.2	113375	stimulus	n/a	211
111.9717	0.0	114660	response	n/a	202
112.3330	0.2	115030	stimulus	n/a	121
113.5322	0.2	116258	stimulus	n/a	221
114.3965	0.0	117143	response	n/a	201
115.2646	0.2	118032	stimulus	n/a	111
116.5479	0.2	119346	stimulus	n/a	211
118.1162	0.0	120952	response	n/a	201
118.2637	0.2	121103	stimulus	n/a	111
119.4639	0.2	122332	stimulus	n/a	211
120.4678	0.0	123360	response	n/a	201
121.1631	0.2	124072	stimulus	n/a	111
122.2959	0.2	125232	stimulus	n/a	211
123.1240	0.0	126080	response	n/a	201
124.0117	0.2	126989	stimulus	n/a	121
125.1953	0.2	128201	stimulus	n/a	221
125.9561	0.0	128980	response	n/a	201
126.9111	0.2	129958	stimulus	n/a	121
128.0439	0.2	131118	stimulus	n/a	221
129.2041	0.0	132306	response	n/a	201
129.8428	0.2	132960	stimulus	n/a	111
131.0762	0.2	134223	stimulus	n/a	211
131.9639	0.0	135132	response	n/a	201
132.7754	0.2	135963	stimulus	n/a	121
134.0420	0.2	137260	stimulus	n/a	221
135.2920	0.0	138540	response	n/a	201
135.6582	0.2	138915	stimulus	n/a	121
136.9238	0.2	140211	stimulus	n/a	221
137.7314	0.0	141038	response	n/a	201
138.6396	0.2	141968	stimulus	n/a	111
139.9395	0.2	143299	stimulus	n/a	211
141.0439	0.0	144430	response	n/a	201
141.5723	0.2	144971	stimulus	n/a	111
142.7715	0.2	146199	stimulus	n/a	211
144.2354	0.0	147698	response	n/a	201
206.6494	0.2	211610	stimulus	n/a	111
207.7656	0.2	212753	stimulus	n/a	211
208.4023	0.0	213405	response	n/a	201
209.5645	0.2	214595	stimulus	n/a	121
210.6973	0.2	215755	stimulus	n/a	221
211.3857	0.0	216460	response	n/a	201
212.4141	0.2	217513	stimulus	n/a	111
213.5469	0.2	218673	stimulus	n/a	211
214.2422	0.0	219385	response	n/a	201
215.2793	0.2	220447	stimulus	n/a	121
216.4785	0.2	221675	stimulus	n/a	221
217.2334	0.0	222448	response	n/a	201
218.2783	0.2	223518	stimulus	n/a	121
219.5615	0.2	224832	stimulus	n/a	221
220.2900	0.0	225578	response	n/a	201
221.3105	0.2	226623	stimulus	n/a	111
222.5938	0.2	227937	stimulus	n/a	211
223.4336	0.0	228797	response	n/a	201
224.3760	0.2	229762	stimulus	n/a	121
225.5254	0.2	230939	stimulus	n/a	221
226.3301	0.0	231763	response	n/a	201
227.3086	0.2	232765	stimulus	n/a	121
228.4912	0.2	233976	stimulus	n/a	221
229.2178	0.0	234720	response	n/a	201
230.2412	0.2	235768	stimulus	n/a	111
231.5068	0.2	237064	stimulus	n/a	211
232.2812	0.0	237857	response	n/a	201
233.1729	0.2	238770	stimulus	n/a	121
234.4727	0.2	240101	stimulus	n/a	221
235.4736	0.0	241126	response	n/a	201
236.1055	0.2	241773	stimulus	n/a	111
237.3545	0.2	243052	stimulus	n/a	211
237.9854	0.0	243698	response	n/a	201
239.1045	0.2	244844	stimulus	n/a	121
240.2539	0.2	246021	stimulus	n/a	221
240.9609	0.0	246745	response	n/a	201
241.9863	0.2	247795	stimulus	n/a	121
243.2197	0.2	249058	stimulus	n/a	221
244.1689	0.0	250030	response	n/a	201
244.9854	0.2	250866	stimulus	n/a	121
246.1348	0.2	252043	stimulus	n/a	221
246.8008	0.0	252725	response	n/a	201
247.8174	0.2	253766	stimulus	n/a	111
249.0840	0.2	255063	stimulus	n/a	211
249.5371	0.0	255527	response	n/a	201
250.7998	0.2	256820	stimulus	n/a	121
251.9668	0.2	258015	stimulus	n/a	221
252.7695	0.0	258837	response	n/a	201
253.7158	0.2	259806	stimulus	n/a	121
254.8984	0.2	261017	stimulus	n/a	221
255.5215	0.0	261655	response	n/a	201
256.6650	0.2	262826	stimulus	n/a	121
257.7646	0.2	263952	stimulus	n/a	221
258.5693	0.0	264776	response	n/a	201
259.3799	0.2	265606	stimulus	n/a	111
260.6631	0.2	266920	stimulus	n/a	211
261.0967	0.0	267364	response	n/a	201
262.2959	0.2	268592	stimulus	n/a	121
263.5625	0.2	269889	stimulus	n/a	221
264.1445	0.0	270485	response	n/a	201
276.5410	0.2	283179	stimulus	n/a	112
277.7568	0.2	284424	stimulus	n/a	212
278.3447	0.0	285026	response	n/a	201
279.4229	0.2	286130	stimulus	n/a	122
280.6230	0.2	287359	stimulus	n/a	222
281.2969	0.0	288049	response	n/a	201
282.3887	0.2	289167	stimulus	n/a	122
283.5713	0.2	290378	stimulus	n/a	222
284.1367	0.0	290957	response	n/a	201
285.2715	0.2	292119	stimulus	n/a	112
286.4043	0.2	293279	stimulus	n/a	212
287.0801	0.0	293971	response	n/a	201
288.1035	0.2	295019	stimulus	n/a	112
289.3359	0.2	296281	stimulus	n/a	212
290.3203	0.0	297289	response	n/a	201
291.0020	0.2	297987	stimulus	n/a	112
292.1191	0.2	299131	stimulus	n/a	212
292.8398	0.0	299869	response	n/a	201
293.8682	0.2	300922	stimulus	n/a	112
295.1514	0.2	302236	stimulus	n/a	212
295.6084	0.0	302704	response	n/a	201
296.8008	0.2	303925	stimulus	n/a	112
298.0830	0.2	305238	stimulus	n/a	212
299.0244	0.0	306202	response	n/a	201
299.8496	0.2	307047	stimulus	n/a	122
301.1484	0.2	308377	stimulus	n/a	222
301.8965	0.0	309143	response	n/a	201
302.8818	0.2	310152	stimulus	n/a	112
304.0977	0.2	311397	stimulus	n/a	212
304.7842	0.0	312100	response	n/a	201
305.8135	0.2	313154	stimulus	n/a	122
307.0137	0.2	314383	stimulus	n/a	222
307.5996	0.0	314983	response	n/a	201
308.6299	0.2	316038	stimulus	n/a	122
309.8125	0.2	317249	stimulus	n/a	222
310.7275	0.0	318186	response	n/a	201
311.5947	0.2	319074	stimulus	n/a	122
312.8447	0.2	320354	stimulus	n/a	222
313.4395	0.0	320963	response	n/a	201
314.5938	0.2	322145	stimulus	n/a	112
315.8438	0.2	323425	stimulus	n/a	212
317.0557	0.0	324666	response	n/a	202
317.5762	0.2	325199	stimulus	n/a	112
318.8096	0.2	326462	stimulus	n/a	212
319.7119	0.0	327386	response	n/a	201
320.5752	0.2	328270	stimulus	n/a	112
321.6914	0.2	329413	stimulus	n/a	212
322.3994	0.0	330138	response	n/a	201
323.3242	0.2	331085	stimulus	n/a	112
324.5400	0.2	332330	stimulus	n/a	212
325.3672	0.0	333177	response	n/a	202
326.2402	0.2	334071	stimulus	n/a	122
327.5059	0.2	335367	stimulus	n/a	222
328.1436	0.0	336020	response	n/a	201
329.2217	0.2	337124	stimulus	n/a	112
330.3721	0.2	338302	stimulus	n/a	212
331.0791	0.0	339026	response	n/a	201
332.0547	0.2	340025	stimulus	n/a	112
333.2041	0.2	341202	stimulus	n/a	212
333.8789	0.0	341893	response	n/a	201
355.7959	0.2	364336	stimulus	n/a	112
356.9619	0.2	365530	stimulus	n/a	212
357.6064	0.0	366190	response	n/a	201
358.6787	0.2	367288	stimulus	n/a	112
359.9443	0.2	368584	stimulus	n/a	212
360.6465	0.0	369303	response	n/a	202
361.7109	0.2	370393	stimulus	n/a	112
362.8271	0.2	371536	stimulus	n/a	212
364.0225	0.0	372760	response	n/a	201
364.4258	0.2	373173	stimulus	n/a	112
365.7090	0.2	374487	stimulus	n/a	212
366.4951	0.0	375292	response	n/a	201
367.3086	0.2	376125	stimulus	n/a	122
368.4248	0.2	377268	stimulus	n/a	222
369.1826	0.0	378044	response	n/a	201
370.0410	0.2	378923	stimulus	n/a	122
371.3242	0.2	380237	stimulus	n/a	222
372.0947	0.0	381026	response	n/a	201
372.9902	0.2	381943	stimulus	n/a	112
374.2227	0.2	383205	stimulus	n/a	212
374.9590	0.0	383959	response	n/a	201
375.9717	0.2	384996	stimulus	n/a	122
377.2715	0.2	386327	stimulus	n/a	222
378.1260	0.0	387202	response	n/a	201
378.8877	0.2	387982	stimulus	n/a	122
380.0537	0.2	389176	stimulus	n/a	222
380.6943	0.0	389832	response	n/a	201
381.6865	0.2	390848	stimulus	n/a	112
382.8193	0.2	392008	stimulus	n/a	212
383.4219	0.0	392625	response	n/a	201
384.5527	0.2	393783	stimulus	n/a	122
385.7354	0.2	394994	stimulus	n/a	222
386.6143	0.0	395894	response	n/a	202
387.5010	0.2	396802	stimulus	n/a	122
388.6006	0.2	397928	stimulus	n/a	222
389.4785	0.0	398827	response	n/a	201
390.3672	0.2	399737	stimulus	n/a	122
391.5664	0.2	400965	stimulus	n/a	222
392.4619	0.0	401882	response	n/a	201
393.3496	0.2	402791	stimulus	n/a	122
394.6152	0.2	404087	stimulus	n/a	222
395.2305	0.0	404717	response	n/a	201
396.2646	0.2	405776	stimulus	n/a	122
397.4980	0.2	407039	stimulus	n/a	222
398.1660	0.0	407723	response	n/a	201
399.2637	0.2	408847	stimulus	n/a	122
400.5303	0.2	410144	stimulus	n/a	222
401.3096	0.0	410942	response	n/a	201
402.2627	0.2	411918	stimulus	n/a	122
403.5625	0.2	413249	stimulus	n/a	222
404.2295	0.0	413932	response	n/a	201
405.2949	0.2	415023	stimulus	n/a	122
406.4609	0.2	416217	stimulus	n/a	222
407.7256	0.0	417512	response	n/a	202
408.2607	0.2	418060	stimulus	n/a	112
409.5605	0.2	419391	stimulus	n/a	212
410.3574	0.0	420207	response	n/a	201
411.3428	0.2	421216	stimulus	n/a	122
412.6426	0.2	422547	stimulus	n/a	222
413.2939	0.0	423214	response	n/a	201
436.0010	0.2	446466	stimulus	n/a	122
437.1504	0.2	447643	stimulus	n/a	222
438.0127	0.0	448526	response	n/a	201
438.8994	0.2	449434	stimulus	n/a	112
440.0156	0.2	450577	stimulus	n/a	212
440.7568	0.0	451336	response	n/a	201
441.7324	0.2	452335	stimulus	n/a	112
442.9980	0.2	453631	stimulus	n/a	212
444.0449	0.0	454703	response	n/a	201
444.7812	0.2	455457	stimulus	n/a	122
446.0635	0.2	456770	stimulus	n/a	222
446.7490	0.0	457472	response	n/a	201
447.7129	0.2	458459	stimulus	n/a	122
448.8291	0.2	459602	stimulus	n/a	222
449.5166	0.0	460306	response	n/a	201
450.6289	0.2	461445	stimulus	n/a	122
451.7451	0.2	462588	stimulus	n/a	222
452.4209	0.0	463280	response	n/a	201
453.5107	0.2	464396	stimulus	n/a	112
454.7607	0.2	465676	stimulus	n/a	212
455.6846	0.0	466622	response	n/a	201
456.5430	0.2	467501	stimulus	n/a	112
457.7598	0.2	468747	stimulus	n/a	212
458.2607	0.0	469260	response	n/a	201
459.4922	0.2	470521	stimulus	n/a	112
460.6084	0.2	471664	stimulus	n/a	212
461.3242	0.0	472397	response	n/a	202
462.2744	0.2	473370	stimulus	n/a	112
463.5078	0.2	474633	stimulus	n/a	212
464.6367	0.0	475789	response	n/a	201
465.1738	0.2	476339	stimulus	n/a	112
466.3066	0.2	477499	stimulus	n/a	212
466.8125	0.0	478017	response	n/a	201
468.0557	0.2	479290	stimulus	n/a	122
469.2725	0.2	480536	stimulus	n/a	222
469.9883	0.0	481269	response	n/a	201
470.9883	0.2	482293	stimulus	n/a	122
472.1211	0.2	483453	stimulus	n/a	222
473.1240	0.0	484480	response	n/a	201
473.8535	0.2	485227	stimulus	n/a	122
474.9531	0.2	486353	stimulus	n/a	222
476.1484	0.0	487577	response	n/a	201
476.7031	0.2	488145	stimulus	n/a	112
478.0020	0.2	489475	stimulus	n/a	212
478.4766	0.0	489961	response	n/a	201
479.7021	0.2	491216	stimulus	n/a	122
480.9844	0.2	492529	stimulus	n/a	222
481.7402	0.0	493303	response	n/a	201
482.6338	0.2	494218	stimulus	n/a	122
483.7500	0.2	495361	stimulus	n/a	222
484.4678	0.0	496096	response	n/a	201
485.5332	0.2	497187	stimulus	n/a	112
486.6494	0.2	498330	stimulus	n/a	212
487.3965	0.0	499095	response	n/a	201
488.2988	0.2	500019	stimulus	n/a	122
489.4648	0.2	501213	stimulus	n/a	222
490.1396	0.0	501904	response	n/a	201
491.1973	0.2	502987	stimulus	n/a	112
492.3975	0.2	504216	stimulus	n/a	212
493.2676	0.0	505107	response	n/a	202
