onset	duration	sample	trial_type	stim_file	value	event_type
1.6416	0.0	1682	response	n/a	202	incorrect_response
10.7695	0.0	11029	response	n/a	202	incorrect_response
15.0498	0.3	15412	stimulus	n/a	79	car
15.7129	0.0	16091	response	n/a	201	correct_response
16.5986	0.3	16998	stimulus	n/a	73	car
17.1211	0.0	17533	response	n/a	201	correct_response
18.0322	0.3	18466	stimulus	n/a	75	car
18.5215	0.0	18967	response	n/a	201	correct_response
19.6143	0.3	20086	stimulus	n/a	112	scrambled_face
20.1934	0.0	20679	response	n/a	201	correct_response
21.1641	0.3	21673	stimulus	n/a	17	face
21.7451	0.0	22268	response	n/a	202	incorrect_response
22.7305	0.3	23277	stimulus	n/a	32	face
23.0566	0.0	23611	response	n/a	201	correct_response
24.2959	0.3	24880	stimulus	n/a	169	scrambled_car
24.7051	0.0	25299	response	n/a	201	correct_response
25.8623	0.3	26484	stimulus	n/a	177	scrambled_car
26.2891	0.0	26921	response	n/a	201	correct_response
27.3115	0.3	27968	stimulus	n/a	174	scrambled_car
27.7051	0.0	28371	response	n/a	201	correct_response
28.7783	0.3	29470	stimulus	n/a	120	scrambled_face
29.2012	0.0	29903	response	n/a	201	correct_response
30.3604	0.3	31090	stimulus	n/a	6	face
30.8164	0.0	31557	response	n/a	201	correct_response
31.8604	0.3	32626	stimulus	n/a	117	scrambled_face
32.2725	0.0	33048	response	n/a	201	correct_response
33.4434	0.3	34247	stimulus	n/a	146	scrambled_car
33.8564	0.0	34670	response	n/a	201	correct_response
35.0088	0.3	35850	stimulus	n/a	59	car
35.3848	0.0	36235	response	n/a	202	incorrect_response
36.6084	0.3	37488	stimulus	n/a	139	scrambled_face
37.0645	0.0	37955	response	n/a	202	incorrect_response
38.208	0.3	39126	stimulus	n/a	56	car
38.6084	0.0	39536	response	n/a	201	correct_response
39.707	0.3	40661	stimulus	n/a	141	scrambled_car
40.2246	0.0	41191	response	n/a	201	correct_response
41.2734	0.3	42265	stimulus	n/a	115	scrambled_face
41.8008	0.0	42805	response	n/a	201	correct_response
42.7393	0.3	43766	stimulus	n/a	33	face
43.2168	0.0	44255	response	n/a	201	correct_response
44.2227	0.3	45285	stimulus	n/a	15	face
44.833	0.0	45910	response	n/a	201	correct_response
45.7217	0.3	46820	stimulus	n/a	46	car
46.2168	0.0	47327	response	n/a	202	incorrect_response
47.3047	0.3	48441	stimulus	n/a	18	face
47.8887	0.0	49039	response	n/a	201	correct_response
