onset	duration	sample	trial_type	stim_file	value
8.0117	0.0	8205	response	n/a	202
9.7236	0.0	9958	response	n/a	202
13.7246	0.5	14055	stimulus	n/a	112
14.2988	0.0	14643	response	n/a	201
15.1406	0.5	15505	stimulus	n/a	112
15.5312	0.0	15905	response	n/a	202
16.7236	0.5	17126	stimulus	n/a	111
17.1709	0.0	17584	response	n/a	201
18.3066	0.5	18747	stimulus	n/a	122
18.8193	0.0	19272	response	n/a	201
19.8730	0.5	20351	stimulus	n/a	111
20.3467	0.0	20836	response	n/a	201
21.4385	0.5	21954	stimulus	n/a	121
22.0508	0.0	22581	response	n/a	201
22.9385	0.5	23490	stimulus	n/a	122
23.5791	0.0	24146	response	n/a	202
24.4043	0.5	24991	stimulus	n/a	112
25.0107	0.0	25612	response	n/a	201
25.8701	0.5	26492	stimulus	n/a	122
26.3232	0.0	26956	response	n/a	201
27.4033	0.5	28062	stimulus	n/a	121
27.8271	0.0	28496	response	n/a	201
28.8027	0.5	29495	stimulus	n/a	121
29.3711	0.0	30077	response	n/a	201
30.3359	0.5	31065	stimulus	n/a	111
30.9072	0.0	31650	response	n/a	201
31.9346	0.5	32702	stimulus	n/a	112
32.4512	0.0	33231	response	n/a	202
33.3848	0.5	34187	stimulus	n/a	111
33.8506	0.0	34664	response	n/a	201
34.8506	0.5	35688	stimulus	n/a	121
35.3467	0.0	36196	response	n/a	201
36.4502	0.5	37326	stimulus	n/a	121
37.0186	0.0	37908	response	n/a	201
37.9990	0.5	38912	stimulus	n/a	112
38.5869	0.0	39514	response	n/a	201
39.5488	0.5	40499	stimulus	n/a	122
40.0186	0.0	40980	response	n/a	202
40.9482	0.5	41932	stimulus	n/a	122
41.4668	0.0	42463	response	n/a	201
42.5146	0.5	43536	stimulus	n/a	111
42.9785	0.0	44011	response	n/a	201
43.9141	0.5	44969	stimulus	n/a	122
44.4023	0.0	45469	response	n/a	201
45.3799	0.5	46470	stimulus	n/a	111
45.9941	0.0	47099	response	n/a	201
46.8135	0.5	47938	stimulus	n/a	112
47.2500	0.0	48385	response	n/a	201
48.2461	0.5	49405	stimulus	n/a	111
48.6982	0.0	49868	response	n/a	201
49.7451	0.5	50940	stimulus	n/a	122
50.3066	0.0	51515	response	n/a	201
51.1943	0.5	52424	stimulus	n/a	121
51.7139	0.0	52956	response	n/a	201
52.6113	0.5	53875	stimulus	n/a	111
53.0742	0.0	54349	response	n/a	201
54.0771	0.5	55376	stimulus	n/a	121
54.6582	0.0	55971	response	n/a	201
55.5596	0.5	56894	stimulus	n/a	111
56.0498	0.0	57396	response	n/a	201
57.1260	0.5	58498	stimulus	n/a	111
57.5381	0.0	58920	response	n/a	202
58.6250	0.5	60033	stimulus	n/a	121
59.1621	0.0	60583	response	n/a	201
60.1914	0.5	61637	stimulus	n/a	121
60.6982	0.0	62156	response	n/a	201
61.6074	0.5	63087	stimulus	n/a	112
62.0898	0.0	63581	response	n/a	202
63.2070	0.5	64725	stimulus	n/a	112
63.7539	0.0	65285	response	n/a	201
64.6729	0.5	66226	stimulus	n/a	111
65.1299	0.0	66694	response	n/a	201
66.0898	0.5	67677	stimulus	n/a	111
66.5381	0.0	68136	response	n/a	201
67.5557	0.5	69178	stimulus	n/a	121
68.1855	0.0	69823	response	n/a	201
69.1387	0.5	70799	stimulus	n/a	112
69.5859	0.0	71257	response	n/a	202
70.6211	0.5	72317	stimulus	n/a	121
71.0576	0.0	72764	response	n/a	201
72.1035	0.5	73835	stimulus	n/a	121
72.6582	0.0	74403	response	n/a	201
85.6328	0.5	87689	stimulus	n/a	122
86.2012	0.0	88271	response	n/a	201
87.1484	0.5	89241	stimulus	n/a	111
87.6494	0.0	89754	response	n/a	201
88.6982	0.5	90828	stimulus	n/a	121
89.2012	0.0	91343	response	n/a	201
90.2139	0.5	92380	stimulus	n/a	121
90.6650	0.0	92842	response	n/a	201
91.6807	0.5	93882	stimulus	n/a	121
92.1377	0.0	94350	response	n/a	201
93.2793	0.5	95519	stimulus	n/a	122
93.7217	0.0	95972	response	n/a	201
94.8125	0.5	97089	stimulus	n/a	112
95.2578	0.0	97545	response	n/a	201
96.2285	0.5	98539	stimulus	n/a	111
96.6338	0.0	98954	response	n/a	201
97.6279	0.5	99972	stimulus	n/a	111
98.0488	0.0	100403	response	n/a	201
99.1943	0.5	101576	stimulus	n/a	111
99.6660	0.0	102059	response	n/a	201
100.7275	0.5	103146	stimulus	n/a	111
101.1377	0.0	103566	response	n/a	201
102.2764	0.5	104732	stimulus	n/a	122
102.8008	0.0	105269	response	n/a	201
103.6758	0.5	106165	stimulus	n/a	121
104.0967	0.0	106596	response	n/a	202
105.1758	0.5	107701	stimulus	n/a	112
105.5693	0.0	108104	response	n/a	202
106.6250	0.5	109185	stimulus	n/a	111
107.0811	0.0	109652	response	n/a	201
