onset	duration	sample	trial_type	stim_file	value	event_type
10.4307	0.0	10682	response	n/a	202	incorrect_response
23.1348	0.0	23691	response	n/a	202	incorrect_response
27.3184	0.3	27975	stimulus	n/a	132	scrambled_face
27.8467	0.0	28516	response	n/a	201	correct_response
28.8018	0.3	29494	stimulus	n/a	110	scrambled_face
29.1826	0.0	29884	response	n/a	201	correct_response
30.3008	0.3	31029	stimulus	n/a	60	car
30.6865	0.0	31424	response	n/a	202	incorrect_response
31.8506	0.3	32616	stimulus	n/a	33	face
32.2227	0.0	32997	response	n/a	201	correct_response
33.3994	0.3	34202	stimulus	n/a	141	scrambled_car
33.751	0.0	34562	response	n/a	202	incorrect_response
34.9326	0.3	35772	stimulus	n/a	2	face
35.2627	0.0	36110	response	n/a	201	correct_response
36.4824	0.3	37359	stimulus	n/a	14	face
36.9268	0.0	37814	response	n/a	201	correct_response
38.0811	0.3	38996	stimulus	n/a	66	car
38.6143	0.0	39542	response	n/a	202	incorrect_response
39.6143	0.3	40566	stimulus	n/a	50	car
40.1504	0.0	41115	response	n/a	201	correct_response
41.1133	0.3	42101	stimulus	n/a	3	face
41.5342	0.0	42532	response	n/a	201	correct_response
42.5469	0.3	43569	stimulus	n/a	153	scrambled_car
43.0781	0.0	44113	response	n/a	201	correct_response
44.0127	0.3	45070	stimulus	n/a	7	face
44.4219	0.0	45489	response	n/a	201	correct_response
45.5791	0.3	46674	stimulus	n/a	165	scrambled_car
46.1104	0.0	47218	response	n/a	201	correct_response
47.1787	0.3	48312	stimulus	n/a	62	car
47.6543	0.0	48799	response	n/a	201	correct_response
48.6113	0.3	49779	stimulus	n/a	26	face
49.1025	0.0	50282	response	n/a	201	correct_response
50.1436	0.3	51348	stimulus	n/a	35	face
50.5498	0.0	51764	response	n/a	201	correct_response
51.627	0.3	52867	stimulus	n/a	135	scrambled_face
52.1582	0.0	53411	response	n/a	201	correct_response
53.0762	0.3	54351	stimulus	n/a	124	scrambled_face
53.542	0.0	54828	response	n/a	201	correct_response
54.6094	0.3	55921	stimulus	n/a	78	car
55.0381	0.0	56360	response	n/a	201	correct_response
56.0586	0.3	57405	stimulus	n/a	77	car
56.4141	0.0	57769	response	n/a	201	correct_response
57.4746	0.3	58855	stimulus	n/a	121	scrambled_face
57.8779	0.0	59268	response	n/a	202	incorrect_response
59.0078	0.3	60425	stimulus	n/a	32	face
59.4062	0.0	60833	response	n/a	201	correct_response
60.54	0.3	61994	stimulus	n/a	56	car
61.0781	0.0	62545	response	n/a	202	incorrect_response
62.123	0.3	63615	stimulus	n/a	1	face
63.374	0.0	64896	response	n/a	201	correct_response
63.6895	0.3	65219	stimulus	n/a	145	scrambled_car
