onset	duration	sample	trial_type	stim_file	value
9.0049	0.0	9222	response	n/a	202
16.2607	0.0	16652	response	n/a	202
20.3623	0.2	20852	stimulus	n/a	112
21.5947	0.2	22114	stimulus	n/a	212
22.3486	0.0	22886	response	n/a	201
23.3115	0.2	23872	stimulus	n/a	122
24.4443	0.2	25032	stimulus	n/a	222
25.4600	0.0	26072	response	n/a	202
26.2100	0.2	26840	stimulus	n/a	112
27.4268	0.2	28086	stimulus	n/a	212
28.0762	0.0	28751	response	n/a	201
29.1426	0.2	29843	stimulus	n/a	112
30.2422	0.2	30969	stimulus	n/a	212
30.9160	0.0	31659	response	n/a	201
31.9912	0.2	32760	stimulus	n/a	112
33.2412	0.2	34040	stimulus	n/a	212
33.8438	0.0	34657	response	n/a	201
34.9072	0.2	35746	stimulus	n/a	122
36.1729	0.2	37042	stimulus	n/a	222
36.8516	0.0	37737	response	n/a	201
37.8389	0.2	38748	stimulus	n/a	122
39.1221	0.2	40062	stimulus	n/a	222
40.5078	0.0	41481	response	n/a	202
40.7549	0.2	41734	stimulus	n/a	122
41.9883	0.2	42997	stimulus	n/a	222
42.9795	0.0	44012	response	n/a	201
43.6035	0.2	44651	stimulus	n/a	112
44.7705	0.2	45846	stimulus	n/a	212
45.0918	0.0	46175	response	n/a	201
46.4697	0.2	47586	stimulus	n/a	112
47.7695	0.2	48917	stimulus	n/a	212
48.9717	0.0	50148	response	n/a	201
49.4014	0.2	50588	stimulus	n/a	122
50.6680	0.2	51885	stimulus	n/a	222
51.3076	0.0	52540	response	n/a	201
52.4512	0.2	53711	stimulus	n/a	112
53.6338	0.2	54922	stimulus	n/a	212
54.1797	0.0	55481	response	n/a	201
55.3994	0.2	56730	stimulus	n/a	122
56.6992	0.2	58061	stimulus	n/a	222
57.7314	0.0	59118	response	n/a	201
58.3984	0.2	59801	stimulus	n/a	112
59.6816	0.2	61115	stimulus	n/a	212
60.4756	0.0	61928	response	n/a	201
61.3643	0.2	62838	stimulus	n/a	112
62.4971	0.2	63998	stimulus	n/a	212
62.9316	0.0	64443	response	n/a	201
64.1133	0.2	65653	stimulus	n/a	122
65.3799	0.2	66950	stimulus	n/a	222
66.0273	0.0	67613	response	n/a	201
66.9951	0.2	68604	stimulus	n/a	112
68.2285	0.2	69867	stimulus	n/a	212
69.0996	0.0	70759	response	n/a	201
69.8613	0.2	71539	stimulus	n/a	122
71.0273	0.2	72733	stimulus	n/a	222
71.9873	0.0	73716	response	n/a	201
72.6270	0.2	74371	stimulus	n/a	112
73.8428	0.2	75616	stimulus	n/a	212
74.1953	0.0	75977	response	n/a	201
75.4922	0.2	77305	stimulus	n/a	122
76.6592	0.2	78500	stimulus	n/a	222
77.5068	0.0	79368	response	n/a	201
96.9512	0.2	99279	stimulus	n/a	112
98.1846	0.2	100542	stimulus	n/a	212
98.7070	0.0	101077	response	n/a	201
99.8174	0.2	102214	stimulus	n/a	122
101.0830	0.2	103510	stimulus	n/a	222
101.6348	0.0	104075	response	n/a	201
102.8330	0.2	105302	stimulus	n/a	122
104.1152	0.2	106615	stimulus	n/a	222
104.8340	0.0	107351	response	n/a	201
105.7812	0.2	108321	stimulus	n/a	112
106.9648	0.2	109533	stimulus	n/a	212
107.4023	0.0	109981	response	n/a	201
108.5977	0.2	111205	stimulus	n/a	112
109.8799	0.2	112518	stimulus	n/a	212
110.3779	0.0	113028	response	n/a	201
111.5635	0.2	114242	stimulus	n/a	112
112.8457	0.2	115555	stimulus	n/a	212
113.3467	0.0	116068	response	n/a	201
114.4785	0.2	117227	stimulus	n/a	112
115.6113	0.2	118387	stimulus	n/a	212
116.1621	0.0	118951	response	n/a	201
117.2441	0.2	120059	stimulus	n/a	122
118.3936	0.2	121236	stimulus	n/a	222
119.0342	0.0	121892	response	n/a	201
120.0762	0.2	122959	stimulus	n/a	112
121.2432	0.2	124154	stimulus	n/a	212
121.5781	0.0	124497	response	n/a	201
122.8926	0.2	125843	stimulus	n/a	112
124.0918	0.2	127071	stimulus	n/a	212
124.7305	0.0	127725	response	n/a	202
125.7910	0.2	128811	stimulus	n/a	112
126.8906	0.2	129937	stimulus	n/a	212
127.6016	0.0	130665	response	n/a	201
128.6064	0.2	131694	stimulus	n/a	122
129.8896	0.2	133008	stimulus	n/a	222
130.5137	0.0	133647	response	n/a	201
131.5391	0.2	134697	stimulus	n/a	112
132.6553	0.2	135840	stimulus	n/a	212
132.9854	0.0	136178	response	n/a	201
134.2881	0.2	137512	stimulus	n/a	122
135.5547	0.2	138809	stimulus	n/a	222
136.1777	0.0	139447	response	n/a	201
137.2539	0.2	140549	stimulus	n/a	112
138.5205	0.2	141846	stimulus	n/a	212
139.0820	0.0	142421	response	n/a	201
140.3027	0.2	143671	stimulus	n/a	112
141.5859	0.2	144985	stimulus	n/a	212
141.9053	0.0	145312	response	n/a	201
143.2188	0.2	146657	stimulus	n/a	122
144.4014	0.2	147868	stimulus	n/a	222
144.9375	0.0	148417	response	n/a	201
146.0674	0.2	149574	stimulus	n/a	122
147.2500	0.2	150785	stimulus	n/a	222
148.1299	0.0	151686	response	n/a	201
149.0498	0.2	152628	stimulus	n/a	122
150.1826	0.2	153788	stimulus	n/a	222
151.0977	0.0	154725	response	n/a	201
151.9482	0.2	155596	stimulus	n/a	122
153.0811	0.2	156756	stimulus	n/a	222
153.7373	0.0	157428	response	n/a	201
167.0928	0.2	171104	stimulus	n/a	122
168.2090	0.2	172247	stimulus	n/a	222
168.7930	0.0	172845	response	n/a	201
169.9424	0.2	174022	stimulus	n/a	122
171.2412	0.2	175352	stimulus	n/a	222
172.3770	0.0	176515	response	n/a	201
172.8574	0.2	177007	stimulus	n/a	112
174.0908	0.2	178270	stimulus	n/a	212
174.6650	0.0	178858	response	n/a	201
175.8564	0.2	180078	stimulus	n/a	122
177.0234	0.2	181273	stimulus	n/a	222
177.8008	0.0	182069	response	n/a	201
178.6895	0.2	182979	stimulus	n/a	112
179.9053	0.2	184224	stimulus	n/a	212
180.5605	0.0	184895	response	n/a	201
181.5713	0.2	185930	stimulus	n/a	112
182.6709	0.2	187056	stimulus	n/a	212
183.0166	0.0	187410	response	n/a	201
184.2705	0.2	188694	stimulus	n/a	122
185.4033	0.2	189854	stimulus	n/a	222
186.0322	0.0	190498	response	n/a	201
187.0693	0.2	191560	stimulus	n/a	112
188.2520	0.2	192771	stimulus	n/a	212
188.6650	0.0	193194	response	n/a	201
189.9521	0.2	194512	stimulus	n/a	112
191.1846	0.2	195774	stimulus	n/a	212
191.5449	0.0	196143	response	n/a	201
192.8008	0.2	197429	stimulus	n/a	122
193.9502	0.2	198606	stimulus	n/a	222
194.5762	0.0	199247	response	n/a	201
195.7158	0.2	200414	stimulus	n/a	112
196.8496	0.2	201575	stimulus	n/a	212
197.4248	0.0	202164	response	n/a	201
198.5488	0.2	203315	stimulus	n/a	112
199.7148	0.2	204509	stimulus	n/a	212
200.4004	0.0	205211	response	n/a	201
201.3477	0.2	206181	stimulus	n/a	122
202.5635	0.2	207426	stimulus	n/a	222
203.2402	0.0	208119	response	n/a	201
204.2637	0.2	209167	stimulus	n/a	122
205.5459	0.2	210480	stimulus	n/a	222
206.2959	0.0	211248	response	n/a	201
207.2793	0.2	212255	stimulus	n/a	112
208.4453	0.2	213449	stimulus	n/a	212
