onset	duration	sample	trial_type	stim_file	value
6.1045	0.0	6252	response	n/a	202
9.8564	0.0	10094	response	n/a	202
14.0859	0.3	14425	stimulus	n/a	113
14.4727	0.0	14821	response	n/a	201
15.6191	0.3	15995	stimulus	n/a	106
15.9521	0.0	16336	response	n/a	201
17.1016	0.3	17513	stimulus	n/a	143
17.4883	0.0	17909	response	n/a	201
18.5508	0.3	18997	stimulus	n/a	151
18.8877	0.0	19342	response	n/a	201
20.1006	0.3	20584	stimulus	n/a	69
20.4717	0.0	20964	response	n/a	202
21.6328	0.3	22153	stimulus	n/a	133
22.0957	0.0	22627	response	n/a	201
23.2158	0.3	23774	stimulus	n/a	117
23.7598	0.0	24331	response	n/a	201
24.6650	0.3	25258	stimulus	n/a	125
25.1836	0.0	25789	response	n/a	201
26.1318	0.3	26760	stimulus	n/a	50
26.5361	0.0	27174	response	n/a	201
27.6143	0.3	28278	stimulus	n/a	74
28.0400	0.0	28714	response	n/a	201
29.0977	0.3	29797	stimulus	n/a	78
29.4395	0.0	30147	response	n/a	201
30.6133	0.3	31349	stimulus	n/a	36
30.9600	0.0	31704	response	n/a	201
32.0625	0.3	32833	stimulus	n/a	116
32.5117	0.0	33293	response	n/a	201
33.5459	0.3	34352	stimulus	n/a	28
34.0000	0.0	34817	response	n/a	201
35.1455	0.3	35990	stimulus	n/a	130
35.5840	0.0	36439	response	n/a	201
36.6611	0.3	37542	stimulus	n/a	16
37.1201	0.0	38012	response	n/a	201
38.1436	0.3	39060	stimulus	n/a	144
38.7197	0.0	39650	response	n/a	201
39.6436	0.3	40596	stimulus	n/a	109
40.0635	0.0	41026	response	n/a	201
41.2100	0.3	42200	stimulus	n/a	122
41.6074	0.0	42607	response	n/a	201
42.7588	0.3	43786	stimulus	n/a	64
43.1191	0.0	44155	response	n/a	201
44.3252	0.3	45390	stimulus	n/a	110
44.7275	0.0	45802	response	n/a	201
45.9082	0.3	47011	stimulus	n/a	62
46.2871	0.0	47399	response	n/a	201
47.3740	0.3	48512	stimulus	n/a	2
47.7832	0.0	48931	response	n/a	202
48.9570	0.3	50133	stimulus	n/a	61
49.4316	0.0	50619	response	n/a	201
50.4893	0.3	51702	stimulus	n/a	105
50.9834	0.0	52208	response	n/a	201
52.0391	0.3	53289	stimulus	n/a	66
52.5273	0.0	53789	response	n/a	201
53.5215	0.3	54807	stimulus	n/a	120
54.0391	0.0	55337	response	n/a	201
54.9717	0.3	56292	stimulus	n/a	123
55.5674	0.0	56902	response	n/a	201
56.5537	0.3	57912	stimulus	n/a	136
56.9756	0.0	58344	response	n/a	201
58.1367	0.3	59533	stimulus	n/a	67
58.5273	0.0	59933	response	n/a	201
59.6865	0.3	61120	stimulus	n/a	157
60.2549	0.0	61702	response	n/a	201
61.2021	0.3	62672	stimulus	n/a	47
