onset	duration	sample	trial_type	stim_file	value
11.5244	0.0	11802	response	n/a	202
13.9639	0.0	14300	response	n/a	202
18.2676	0.2	18707	stimulus	n/a	35
18.8838	0.0	19338	response	n/a	201
19.7666	0.2	20242	stimulus	n/a	35
20.1484	0.0	20633	response	n/a	201
21.3496	0.2	21863	stimulus	n/a	34
21.7080	0.0	22230	response	n/a	201
22.8994	0.2	23450	stimulus	n/a	34
23.3164	0.0	23877	response	n/a	201
24.3154	0.2	24900	stimulus	n/a	32
24.7236	0.0	25318	response	n/a	201
25.7979	0.2	26418	stimulus	n/a	34
26.2041	0.0	26834	response	n/a	201
27.3975	0.2	28056	stimulus	n/a	31
27.7959	0.0	28464	response	n/a	201
28.8799	0.2	29574	stimulus	n/a	32
29.2842	0.0	29988	response	n/a	201
30.4131	0.2	31144	stimulus	n/a	33
30.7559	0.0	31495	response	n/a	201
31.9121	0.2	32679	stimulus	n/a	35
32.3076	0.0	33084	response	n/a	201
33.5117	0.2	34317	stimulus	n/a	32
33.9395	0.0	34755	response	n/a	201
35.0947	0.2	35938	stimulus	n/a	31
35.4277	0.0	36279	response	n/a	201
36.5107	0.2	37388	stimulus	n/a	33
37.0596	0.0	37950	response	n/a	201
38.0273	0.2	38941	stimulus	n/a	33
38.5723	0.0	39499	response	n/a	201
39.5430	0.2	40493	stimulus	n/a	35
39.9395	0.0	40899	response	n/a	201
40.9922	0.2	41977	stimulus	n/a	34
41.5400	0.0	42538	response	n/a	201
42.4424	0.2	43462	stimulus	n/a	31
42.8193	0.0	43848	response	n/a	201
43.9248	0.2	44980	stimulus	n/a	32
44.2754	0.0	45339	response	n/a	201
45.3906	0.2	46481	stimulus	n/a	33
46.1797	0.0	47289	response	n/a	201
46.9238	0.2	48051	stimulus	n/a	31
47.4121	0.0	48551	response	n/a	201
48.4229	0.2	49586	stimulus	n/a	33
49.0752	0.0	50254	response	n/a	201
49.9395	0.2	51139	stimulus	n/a	34
50.3154	0.0	51524	response	n/a	201
51.4385	0.2	52674	stimulus	n/a	35
51.8838	0.0	53130	response	n/a	201
52.9219	0.2	54193	stimulus	n/a	31
53.4512	0.0	54735	response	n/a	201
54.4873	0.2	55796	stimulus	n/a	32
54.8594	0.0	56177	response	n/a	201
56.0039	0.2	57349	stimulus	n/a	35
56.4199	0.0	57775	response	n/a	201
57.5195	0.2	58901	stimulus	n/a	31
57.8838	0.0	59274	response	n/a	201
59.0361	0.2	60454	stimulus	n/a	33
59.5479	0.0	60978	response	n/a	201
60.5693	0.2	62024	stimulus	n/a	34
61.1631	0.0	62632	response	n/a	201
62.0684	0.2	63559	stimulus	n/a	32
62.4111	0.0	63910	response	n/a	201
63.6348	0.2	65163	stimulus	n/a	35
63.9873	0.0	65524	response	n/a	201
65.1836	0.2	66749	stimulus	n/a	32
65.5469	0.0	67121	response	n/a	201
66.6670	0.2	68268	stimulus	n/a	35
67.0430	0.0	68653	response	n/a	201
68.1494	0.2	69786	stimulus	n/a	35
68.5391	0.0	70185	response	n/a	201
69.5820	0.2	71253	stimulus	n/a	34
