onset	duration	sample	trial_type	stim_file	value	event_type
3.4805	0.0	3565	response	n/a	202	incorrect_response
14.6885	0.0	15042	response	n/a	202	incorrect_response
18.9395	0.3	19395	stimulus	n/a	129	scrambled_face
19.3037	0.0	19768	response	n/a	202	incorrect_response
20.3887	0.3	20879	stimulus	n/a	72	car
20.792	0.0	21292	response	n/a	201	correct_response
21.9385	0.3	22466	stimulus	n/a	45	car
22.2959	0.0	22832	response	n/a	201	correct_response
23.5381	0.3	24104	stimulus	n/a	25	face
23.9756	0.0	24552	response	n/a	201	correct_response
25.0205	0.3	25622	stimulus	n/a	136	scrambled_face
25.3682	0.0	25978	response	n/a	201	correct_response
26.5869	0.3	27226	stimulus	n/a	61	car
26.9355	0.0	27583	response	n/a	201	correct_response
28.1191	0.3	28795	stimulus	n/a	167	scrambled_car
28.4639	0.0	29148	response	n/a	202	incorrect_response
29.5361	0.3	30246	stimulus	n/a	105	scrambled_face
29.9199	0.0	30639	response	n/a	201	correct_response
30.9854	0.3	31730	stimulus	n/a	39	face
31.376	0.0	32130	response	n/a	201	correct_response
32.501	0.3	33282	stimulus	n/a	6	face
32.9521	0.0	33744	response	n/a	201	correct_response
33.9346	0.3	34750	stimulus	n/a	119	scrambled_face
34.2959	0.0	35120	response	n/a	201	correct_response
35.3506	0.3	36200	stimulus	n/a	115	scrambled_face
35.7432	0.0	36602	response	n/a	201	correct_response
36.916	0.3	37803	stimulus	n/a	50	car
37.4795	0.0	38380	response	n/a	201	correct_response
38.4492	0.3	39373	stimulus	n/a	12	face
38.7676	0.0	39699	response	n/a	202	incorrect_response
39.9482	0.3	40908	stimulus	n/a	169	scrambled_car
40.3994	0.0	41370	response	n/a	201	correct_response
41.5312	0.3	42529	stimulus	n/a	11	face
41.9199	0.0	42927	response	n/a	201	correct_response
42.9473	0.3	43979	stimulus	n/a	65	car
43.4717	0.0	44516	response	n/a	201	correct_response
44.5303	0.3	45600	stimulus	n/a	30	face
44.959	0.0	46039	response	n/a	201	correct_response
46.0127	0.3	47118	stimulus	n/a	76	car
46.4873	0.0	47604	response	n/a	201	correct_response
47.4629	0.3	48603	stimulus	n/a	116	scrambled_face
47.7676	0.0	48915	response	n/a	202	incorrect_response
48.9287	0.3	50104	stimulus	n/a	113	scrambled_face
49.2715	0.0	50455	response	n/a	201	correct_response
50.3281	0.3	51537	stimulus	n/a	23	face
50.8711	0.0	52093	response	n/a	201	correct_response
51.7441	0.3	52987	stimulus	n/a	32	face
52.0957	0.0	53347	response	n/a	201	correct_response
53.3271	0.3	54608	stimulus	n/a	139	scrambled_face
54.877	0.3	56195	stimulus	n/a	49	car
55.2549	0.0	56582	response	n/a	201	correct_response
56.459	0.3	57815	stimulus	n/a	143	scrambled_car
56.8955	0.0	58262	response	n/a	201	correct_response
57.876	0.3	59266	stimulus	n/a	71	car
58.2871	0.0	59687	response	n/a	201	correct_response
59.3086	0.3	60733	stimulus	n/a	78	car
59.7275	0.0	61162	response	n/a	201	correct_response
60.9082	0.3	62371	stimulus	n/a	140	scrambled_face
61.2949	0.0	62767	response	n/a	201	correct_response
62.4404	0.3	63940	stimulus	n/a	57	car
62.8633	0.0	64373	response	n/a	201	correct_response
